Outside Woman,Bloodstone
To Each His Own,"Faith, Hope And Charity"
You Sexy Thing,Hot Chocolate
Everybody's Got The Right To Love,The Supremes
Sunrise,Eric Carmen
Let's Get Married,Al Green
(I Believe) There's Nothing Stronger Than Our Love,Paul Anka/Odia Coates
Living In A House Divided,Cher
Baby Sitter,Betty Wright
I Hear Those Church Bells Ringing,Dusk
Room Full Of Roses,Mickey Gilley
You And I,Rick James
Astral Man,Nektar
You've Made Me So Very Happy,Lou Rawls
The Lonely One,Special Delivery Featuring Terry Huff
Look In My Eyes Pretty Woman,Tony Orlando & Dawn
She Called Me Baby,Charlie Rich
I'll Supply The Love,Toto
Saw A New Morning,Bee Gees
Will You Love Me Tomorrow,Dana Valery
Rock And Roll Dancin',Beckmeier Brothers
Devil With A Blue Dress,Pratt & McClain
Rockaway Beach,Ramones
Weekend In New England,Barry Manilow
I Can Make It Thru The Days (But Oh Those Lonely Nights),Ray Charles
Head Games,Foreigner
That Evil Child,B.B. King
Hang On Sloopy,Rick Derringer
"Hoppy, Gene And Me",Roy Rogers
That's Your Secret,Sea Level
I Like To Do It,KC And The Sunshine Band
Nursery Rhymes (Part I),People's Choice
Cool Change,Little River Band
Fool If You Think It's Over,Chris Rea
I've Got A Feeling (We'll Be Seeing Each Other Again),Al Wilson
No One To Depend On,Santana
I'm Coming Home,Johnny Mathis
Can't Stop Dancin',Captain & Tennille
Long Cool Woman (In A Black Dress),The Hollies
Dream On,The Righteous Brothers
Move 'Em Out,Delaney & Bonnie
Jackie Wilson Said (I'm In Heaven When You Smile),Van Morrison
Sara,Fleetwood Mac
The Crude Oil Blues,Jerry Reed
Simply Call It Love,Gene Chandler
Deep Purple,Donny & Marie Osmond
Ring My Bell,Anita Ward
C'mon Marianne,Donny Osmond
Here Is Where Your Love Belongs,The Sons Of Champlin
Chase,Giorgio Moroder
"I Wanna Dance Wit' Choo (Doo Dat Dance), Part I",Disco Tex & The Sex-O-Lettes
Gypsy Man,War
Don't Let Him Take Your Love From Me,Four Tops
Please Mr. Postman,Carpenters
ANNIE's SONG,John Denver
Double Vision,Foreigner
Hello Hurray,Alice Cooper
Lead Me On,Maxine Nightingale
Be My Girl,The Dramatics
Flying High,Commodores
Isn't It Lonely Together,Stark & McBrien
Sing,Carpenters
Waterfall,Carly Simon
It's A Shame,The Spinners
That's Why I Love You,Andrew Gold
Drivin' Wheel,Foghat
Dance With The Devil,Cozy Powell
The Black-Eyed Boys,Paper Lace
Armed And Extremely Dangerous,First Choice
Long Lonesome Highway,Michael Parks
My Sweet Lady,Cliff DeYoung
"Try Some, Buy Some",Ronnie Spector
It Don't Come Easy,Ringo Starr
Lovely Day,Bill Withers
What Goes Up (Must Come Down),Tyrone Davis
Satin Sheets,Jeanne Pruett
One Man Woman/One Woman Man,Paul Anka with Odia Coates
I'll Be Right Here,Tyrone Davis
"Theme From ""Rocky"" (Gonna Fly Now)",Current
Ready To Take A Chance Again,Barry Manilow
Another Day/Oh Woman Oh Why,Paul McCartney
Lucille,Kenny Rogers
Action Speaks Louder Than Words,Chocolate Milk
Corner Of The Sky,Jackson 5
I Won't Last A Day Without You,Carpenters
Got To See If I Can't Get Mommy (To Come Back Home),Jerry Butler
Looks Like Love Again,Dann Rogers
Where Evil Grows,The Poppy Family
Hey Baby,Ted Nugent
Rings,Cymarron
Tonight,Raspberries
The Immigrant,Neil Sedaka
Leftovers,Millie Jackson
That's Not How It Goes,Bloodstone
Second Avenue,Garfunkel
The Millionaire,Dr. Hook
Every Face Tells A Story,Olivia Newton-John
Sweet Lui-Louise,Ironhorse
Brown Paper Bag,Syndicate Of Sound
So Long,Firefall
Dog Days,Atlanta Rhythm Section
Thank God It's Friday,Love And Kisses
Battle Of New Orleans,The Nitty Gritty Dirt Band
Dream Lover,The Marshall Tucker Band
"See Me, Feel Me",The Who
Chameleon,Herbie Hancock
You Make Loving Fun,Fleetwood Mac
Angie,The Rolling Stones
Sweet Inspiration/Where You Lead,Barbra Streisand
Holly Holy,Jr. Walker & The All Stars
Get Up Offa That Thing,James Brown
Check It Out,Bobby Womack
You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy
Thanks For The Smiles,Charlie Ross
Miles Away,Fotomaker
People Are Changin',Timmy Thomas
Miracles,Jefferson Starship
Third Time Lucky (First Time I Was A Fool),Foghat
No Good To Cry,The Poppy Family
So Long Dixie,"Blood, Sweat & Tears"
My Merry-go-round,Johnny Nash
"Mean Little Woman, Rosalie",Tommy Roe
Sweet Sticky Thing,Ohio Players
"Baby, Baby I Love You",Terry Cashman
Melanie Makes Me Smile,Tony Burrows
Do Ya,The Move
Longfellow Serenade,Neil Diamond
Close The Door,Teddy Pendergrass
Green-Eyed Lady,Sugarloaf
Such A Woman,Tycoon
Lookin' Out My Back Door/Long As I Can See The Light,Creedence Clearwater Revival
Mirror Star,Fabulous Poodles
Magic Woman Touch,The Hollies
Jingle Jangle,The Archies
Reelin' & Rockin',Chuck Berry
I Am What I Am,Lois Fletcher
Where Did Our Love Go,Donnie Elbert
"My Man, A Sweet Man",Millie Jackson
Heartbeat - It's A Lovebeat,The DeFranco Family featuring Tony DeFranco
There'll Never Be,Switch
Ashes And Sand,Johnny Rivers
Right Time Of The Night,Jennifer Warnes
Carolina In My Mind,James Taylor
He Ain't Heavy...He's My Brother,Neil Diamond
How High The Moon,Gloria Gaynor
Shake It,Ian Matthews
Bombs Away,Bob Weir
Love Me One More Time (Just For Old Times Sake),Karen Nelson And Billy T
Ben,Michael Jackson
Got To Get You Into My Life,"Blood, Sweat & Tears"
Moonlight Feels Right,Starbuck
Caught In A Dream,Alice Cooper
Absolutely Right,Five Man Electrical Band
Bringing It Back,Elvis Presley
Georgia Porcupine,George Fischoff
I'm Her Fool,Billy Swan
I'm Never Gonna Be Alone Anymore,Cornelius Brothers & Sister Rose
Rock Steady,Aretha Franklin
Rhinestone Cowboy,Glen Campbell
The Pretender,Jackson Browne
Let's Rock,Ellison Chase
Let Me Back In,Tyrone Davis
Saturday In The Park,Chicago
I Don't Know If It's Right,"Evelyn ""Champagne"" King"
"Hey, Mister Sun",Bobby Sherman
We Did It,Syl Johnson
Play Something Sweet (Brickyard Blues),Three Dog Night
Do You Feel Like We Do,Peter Frampton
Chicago,Graham Nash
The Gangs Back Again,Kool & The Gang
You're My Everything,Lee Garrett
Georgia On My Mind,Willie Nelson
Part-Time Love,Elton John
Fever/My Crew,Rita Coolidge
Show Me The Way,Peter Frampton
"Baby, I Love Your Way",Peter Frampton
You're Still A Young Man,Tower Of Power
I'm Movin' On,John Kay
You Can Have Her,Sam Neely
I've Found Someone Of My Own,The Free Movement
Bungle In The Jungle,Jethro Tull
He's So Fine,Jody Miller
Come To Me,France Joli
You Should Do It,Peter Brown With Betty Wright
"Whoever Finds This, I Love You",Mac Davis
I Got To Know,Starbuck
Warm Ride,Rare Earth
The Story In Your Eyes,The Moody Blues
It's Only Love,ZZ Top
Reason To Be,Kansas
Be My Lady,The Meters
Tell 'Em Willie Boy 's A'Comin',Tommy James
Prisoner (Captured By Your Eyes),L.A. Jets
No Love At All,B.J. Thomas
Tweedlee Dee,Little Jimmy Osmond
Workin' At The Car Wash Blues,Jim Croce
Big Leg Woman (With A Short Short Mini Skirt),"Israel ""Popper Stopper"" Tolbert"
Raised On Rock/For Ol' Times Sake,Elvis Presley
"Hold Me, Touch Me",Paul Stanley
Flight '76,The Walter Murphy Band
Say You'll Stay Until Tomorrow,Tom Jones
Sail On,Commodores
A Rock 'N' Roll Fantasy,The Kinks
Get Up And Boogie (That's Right),Silver Convention
Tupelo Honey,Van Morrison
Signs,Five Man Electrical Band
Everything's Tuesday,Chairman Of The Board
"Hello, Hello, Hello",New England
Let Your Hair Down,The Temptations
Jesus Was A Capricorn,Kris Kristofferson
One Of The Boys,Mott The Hoople
Living In The Past,Jethro Tull
Stuff Like That,Quincy Jones
A Simple Man,Lobo
Sittin' On A Time Bomb (Waitin' For The Hurt To Come),The Honey Cone
"To Be Young, Gifted And Black",Nina Simone
This Heart,Gene Redding
Do It,Neil Diamond
Raise A Little Hell,Trooper
Dancin' Fool,The Guess Who
Never My Love,Addrisi Brothers
"N.y., You Got Me Dancing",Andrea True Connection
The Rapper,The Jaggerz
Don't Make Me Over,Jennifer Warnes
It Don't Matter To Me,Bread
I Just Want To Celebrate,Rare Earth
Ring The Living Bell,Melanie
Sixteen Reasons,Laverne & Shirley
Bye Bye Baby,U.S. 1
It's Been A Long Time,The New Birth
Little Girl Gone,Donna Fargo
Eve,Jim Capaldi
Only Women,Alice Cooper
"A Long Time, A Long Way To Go",Runt-Todd Rundgren
Lorelei,Styx
I Don't See Me In Your Eyes Anymore,Charlie Rich
Making A Good Thing Better,Olivia Newton-John
Rotation,Herb Alpert
Shakey Ground,Phoebe Snow
Lay-Away,The Isley Brothers
Takin' Care Of Business,Bachman-Turner Overdrive
Delta Dawn,Helen Reddy
Hit The Road Jack,Stampeders
Keep On Singing,Helen Reddy
Cry,Lynn Anderson
Platinum Heroes,Bruce Foster
How Can I Leave You Again,John Denver
I Gotta Keep Dancin',Carrie
Lay It On The Line,Triumph
Love Is All,Engelbert Humperdinck
Down And Out In New York City,James Brown
One Tear,Eddie Kendricks
Department Of Youth,Alice Cooper
Love Makes The World Go Round,Kiki Dee
Cottage Cheese,CROW
The Name Of The Game,ABBA
Hard Times For Lovers,Judy Collins
Space Oddity,David Bowie
Energy Crisis '74,Dickie Goodman
Iron Man,Black Sabbath
I Think We're Alone Now,The Rubinoos
For You And I,10cc
Funk Factory,Wilson Pickett
Sweet Home Alabama,Lynyrd Skynyrd
We May Never Pass This Way (Again),Seals & Crofts
I Dreamed Last Night,Justin Hayward & John Lodge
Haven't Stopped Dancing Yet,Gonzalez
Theme From Shaft,Isaac Hayes
Women's Love Rights,Laura Lee
As Long As He Takes Care Of Home,Candi Staton
Tumbling Dice,Linda Ronstadt
"They're Coming To Take Me Away, Ha-Haaa!",Napoleon XIV
"Soul Train ""75""",Soul Train Gang
It's Her Turn To Live,Smokey Robinson
Wombling Summer Party,The Wombles
Wake Up Susan,The Spinners
#1 Dee Jay,Goody Goody
Lights,Journey
Rainy Day People,Gordon Lightfoot
Draggin' The Line,Tommy James
My Little Lady,Bloodstone
In The Bush,Musique
Just Remember I Love You,Firefall
Wooden Heart,Bobby Vinton
Money,Pink Floyd
Looky Looky (Look At Me Girl),The O'Jays
Star On A TV Show,The Stylistics
Hello Darlin',Conway Twitty
Thinking Of You,Paul Davis
In The Mood,Henhouse Five Plus Too
Reality,James Brown
Carolyn,Merle Haggard And The Strangers
Framed,Cheech & Chong
Hold On,The Rascals
Lucy In The Sky With Diamonds,Elton John
Only You,Loleatta Holloway And Bunny Sigler
Draw The Line,Aerosmith
Sunday Morning Sunshine,Harry Chapin
Freedom Blues,Little Richard
We Can Make It Together,Steve & Eydie Featuring The Osmonds
She's Got A Whole Number,Keith Herman
"Louie, Louie",John Belushi
Get It Right Next Time,Gerry Rafferty
Flyin' High,The Blackbyrds
Rise,Herb Alpert
Sing A Song For Freedom,Frijid Pink
Me And Baby Brother,War
Do That To Me One More Time,Captain & Tennille
The Need To Be,Jim Weatherly
I Fought The Law,Sam Neely
I'm Still In Love With You,Al Green
All The Kids On The Street,The Hollywood Stars
Still The One,Orleans
Don't Expect Me To Be Your Friend,Lobo
I've Been This Way Before,Neil Diamond
Mighty High,Mighty Clouds Of Joy
Thunder Island,Jay Ferguson
I'm The Leader Of The Gang,Brownsville Station
I Wanna Learn A Love Song,Harry Chapin
People Make The World Go Round,The Stylistics
Make Me Twice The Man,New York City
I Got A Problem,Jesse Anderson
One Way Out,The Allman Brothers Band
Little Darling (i Need You),The Doobie Brothers
Midnight Rider,Gregg Allman
He's Gonna Step On You Again,John Kongos
Legend In Your Own Time,Carly Simon
Rocky Mountain High,John Denver
"Theme Music For The Film ""2001"" A Space Odyssey from Also Sprach Zarathustr",Berlin Philharmonic
All Right Now,Free
Girls Talk,Dave Edmunds
Want You To Know,Rotary Connection
Let Your Yeah Be Yeah,Brownsville Station
The Killing Of Georgie (Part I And II),Rod Stewart
We Fell In Love While Dancing,Bill Brandon
Ride Captain Ride,Blues Image
Whatcha Gonna Do?,Pablo Cruise
Tangerine,The Salsoul Orchestra
"Started Out Dancing, Ended Up Making Love",Alan O'Day
Sister James,Nino Tempo And 5th Ave. Sax
Costafine Town,Splinter
Another Rainy Day In New York City,Chicago
"Love, Peace And Happiness",Chambers Brothers
Ain't No Sunshine,Bill Withers
Would You Lay With Me (in A Field Of Stone),Tanya Tucker
Get Back,Billy Preston
(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell
Floy Joy,The Supremes
Peggy Sue,The Beach Boys
Baby Come Back,Player
Life During Wartime (This Ain't No Party...This Ain't No Disco...This Ain't,Talking Heads
Saturday Night's Alright For Fighting,Elton John
Don't Let The Flame Burn Out,Jackie DeShannon
Honey Don't Leave L.a.,James Taylor
Let Me Get To Know You,Paul Anka
You Gonna Make Me Love Somebody Else,The Jones Girls
"Lovin' You, Lovin' Me",Candi Staton
Midnight Man,James Gang
The Martian Boogie,Brownsville Station
Ain't Nobody Home,B.B. King
It's A New Day (Part 1) & (Part 2),James Brown
Does Anybody Really Know What Time It Is?,Chicago
Bangla-Desh/Deep Blue,George Harrison
Coconut,Nilsson
Yo-Yo,The Osmonds
Daydreamer,C.C. & Company
Blt,Lee Oskar
Slow Dancin' Don't Turn Me On,Addrisi Brothers
Slide,Slave
Theme From Ice Castles (Through The Eyes Of Love),Melissa Manchester
Dark Lady,Cher
Me And Bobby McGee,Jerry Lee Lewis
Can't Get Enough,Bad Company
Honey Honey,Sweet Dreams
She Cried,The Lettermen
Summer,War
Turn! Turn! Turn!/To Everything There Is A Season,Judy Collins
Dancing In Paradise,El Coco
Ladies Night,Kool & The Gang
Anytime (I'll Be There),Frank Sinatra
Hot Blooded,Foreigner
Right Back Where We Started From,Maxine Nightingale
You Light Up My Life,Kacey Cisyk/Original Cast
Sour Suite,The Guess Who
Down To Love Town,The Originals
Stand By Me,John Lennon
Count On Me,Jefferson Starship
Painted Ladies,Ian Thomas
You Ought To Be With Me,Al Green
Silver Bird,Mark Lindsay
Moonlight Special,Ray Stevens
Mother And Child Reunion,Paul Simon
Can't Find The Time,Rose Colored Glass
Feelin' That Glow,Roberta Flack
"You, Me And Mexico",Edward Bear
I Wanna Know If It's Good To You?,Funkadelic
Life's Been Good,Joe Walsh
Rip Off,Laura Lee
Telegram Sam,T. Rex
It's In His Kiss (The Shoop Shoop Song),Kate Taylor
Patches,Clarence Carter
Nothin' Heavy,David Bellamy
Brazil,The Ritchie Family
"Just As Long As You Need Me, Part I",Independents
I Wanna Be Your Lover,Prince
A Man I'll Never Be,Boston
Nightingale,Carole King
Express,B.T. Express
She's A Lady,Tom Jones
Too Late To Turn Back Now,Cornelius Brothers & Sister Rose
Take Me In Your Arms (Rock Me),The Doobie Brothers
When Love Is New,Arthur Prysock
(You're My) Soul And Inspiration,Donny & Marie Osmond
If You Really Love Me,Stevie Wonder
Hold The Line,Toto
Every Time I Think Of You,The Babys
Country Wine,The Raiders
That Lady (Part 1),The Isley Brothers
Everybody Plays The Fool,The Main Ingredient
Convention '72,The Delegates
"Theme From ""Summer Of '42""",Peter Nero
The Last Game Of The Season (A Blind Man In The Bleachers),David Geddes
Ballero,War
What Can I Do With This Broken Heart,England Dan & John Ford Coley
Tie Your Mother Down,Queen
Ain't That Loving You (For More Reasons Than One),Luther Ingram
River Road,Uncle Dog
Under The Boardwalk,Billy Joe Royal
Why/Lonely Boy,Donny Osmond
Shake Your Groove Thing,Peaches & Herb
Fly At Night,Chilliwack
Run Sally Run,The Cuff Links
Sentimental Lady,Bob Welch
Another Night,The Hollies
"Rain, Oh Rain",Fools Gold
Do You Wanna Make Love,Peter Mccann
What's Your Name,Andy & David Williams
Looks Like We Made It,Barry Manilow
I Cried,James Brown
It's Impossible,The New Birth
Stargazer,Peter Brown
Inner City Blues (Make Me Wanna Holler),Marvin Gaye
Savannah Nights,Tom Johnston
Heart Of The Night,Poco
I Got A Bag Of My Own,James Brown
Good Timin',The Beach Boys
Crazy About The La La La,Smokey Robinson & The Miracles
Runaway,Bonnie Raitt
I Just Can't Control Myself,Nature's Divine
Dance With Me,Orleans
Up The Ladder To The Roof,The Supremes
Blinded By The Light,Manfred Mann's Earth Band
Mr. Bojangles,Nitty Gritty Dirt Band
Fire,The Pointer Sisters
Uptown & Country,Tom Scott
Hey Girl (i Like Your Style),The Temptations
Hollywood Swinging,Kool & The Gang
Doesn't Somebody Want To Be Wanted,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Jet,Paul McCartney And Wings
A Letter To Myself,The Chi-lites
For Elise,The Philarmonics
Takin' It Easy,Seals & Crofts
Shotgun Shuffle,The Sunshine Band
You Stepped Into My Life,Wayne Newton
High On Your Love Suite,Rick James
Am I Black Enough For You,Billy Paul
I'm Scared,Burton Cummings
Any Way You Want Me,The Sylvers
Soul Makossa,Manu Dibango
Lookin' For A Love,Bobby Womack
Black & White,Three Dog Night
You Make Me Feel (Mighty Real),Sylvester
Rock And Roll Love Letter,Bay City Rollers
Touch Me In The Morning,Diana Ross
Gotta Serve Somebody,Bob Dylan
Don't Let The Sun Go Down On Me,Elton John
Remember What I Told You To Forget/My Ship,Tavares
Hot To Trot,Wild Cherry
Change Of Heart,Eric Carmen
Sweet Charlie Babe,Jackie Moore
Double Trouble,Lynyrd Skynyrd
I Wanna Do It To You,Jerry Butler
Blood Red And Goin' Down,Tanya Tucker
Popcorn,Hot Butter
"The Cover Of ""Rolling Stone""",Dr. Hook And The Medicine Show
Hold Back The Night,Graham Parker And The Rumour
Let Me In,The Osmonds
Hello It's Me,Todd Rundgren
You're All I Need To Get By,Johnny Mathis & Deniece Williams
"Whatever You Got, I Want",Jackson 5
Your Bulldog Drinks Champagne,Jim Stafford
Free Spirit,Atlanta Rhythm Section
Fresh As A Daisy,Emitt Rhodes
The Tears Of A Clown,Smokey Robinson & The Miracles
Triangle Of Love (Hey Diddle Diddle),The Presidents
I Thank You,Donny Hathaway And June Conquest
Good Hearted Woman,Waylon & Willie
Escape-ism (Part 1),James Brown
If I Could Only Win Your Love,Emmylou Harris
Good Girls Don't,The Knack
"America, Communicate With Me",Ray Stevens
Man Sized Job,Denise LaSalle
Dream On,Aerosmith
I'm Girl Scoutin',The Intruders
I'm Sorry,Joey Heatherton
Papa Was A Rollin' Stone,The Temptations
Have You Ever Seen The Rain/Hey Tonight,Creedence Clearwater Revival
Mr. Big Stuff,Jean Knight
Big City Miss Ruth Ann,Gallery
Searching For A Thrill,Starbuck
There But For The Grace Of God Go I,Machine
Show You The Way To Go,The Jacksons
D.O.A.,Bloodrock
Master Of Eyes (The Deepness Of Your Eyes),Aretha Franklin
I'm Gonna Be A Country Girl Again,Buffy Sainte-Marie
Jesus Is Just Alright,The Doobie Brothers
Dreadlock Holiday,10cc
Disco Lucy (i Love Lucy Theme),Wilton Place Street Band
Woman From Tokyo,Deep Purple
Everybody Needs Love,Stephen Bishop
Two Divided By Love,The Grass Roots
Yesterday's Hero,Bay City Rollers
Let's Live Together,The Road Apples
I Love My Music,Wild Cherry
Forever Lovers,Mac Davis
"Love's Lines, Angles And Rhymes",The 5th Dimension
Only One Woman,Nigel Olsson
If I Only Could,The Rowans
If You Only Believe (Jesus For Tonite),Michel Polnareff
I Wish I Were,Andy Kim
Sit Yourself Down,Stephen Stills
This One's For You,Barry Manilow
All I See Is Your Face,Dan Hill
Beautiful Girls,Van Halen
Star Baby,The Guess Who
My Ding-A-Ling,Chuck Berry
Does Your Mother Know,ABBA
We've Come Too Far To End It Now,Smokey Robinson & The Miracles
Door To Your Heart,The Dramatics
The Seeker,The Who
"Here, There And Everywhere",Emmylou Harris
Ain't It A Sad Thing,R. Dean Taylor
"Mozart Symphony No. 40 In G Minor K.550, 1st Movement",Waldo De Los Rios
Sunny Days,Lighthouse
Love Me Again,Rita Coolidge
One Way Love,Bandit
Since I Fell For You,Laura Lee
Monster,Steppenwolf
One Man Parade,James Taylor
Listen To What The Man Said,Wings
I'll Make You Music,Beverly Bremers
Take It Like A Man,Bachman-Turner Overdrive
Daisy Mae,"Hamilton, Joe Frank & Reynolds"
Let's Get Crazy Tonight,Rupert Holmes
Show Biz Kids,Steely Dan
Telephone Man,Meri Wilson
Don't Change Horses (In The Middle Of A Stream),Tower Of Power
Lonely School Year,The Hudson Brothers
I Just Fall In Love Again,Anne Murray
Forever Mine,The O'Jays
L-O-V-E (Love),Al Green
"Billy, Don't Be A Hero",Bo Donaldson And The Heywoods
Lady (put The Light On Me),Brownsville Station
Get Up And Get Down,The Dramatics
Misty Blue,Joe Simon
Desiderata,Les Crane
The Red Back Spider,Brownsville Station
Distant Lover,Marvin Gaye
Up On The Roof,Laura Nyro
(i've Been) Searchin' So Long,Chicago
Full Time Thing (Between Dusk And Dawn),Whirlwind
Let's Stay Together,Isaac Hayes
I Found Sunshine,The Chi-lites
Stones/Crunchy Granola Suite,Neil Diamond
I Cheat The Hangman,The Doobie Brothers
Werewolves Of London,Warren Zevon
Superwoman (Where Were You When I Needed You),Stevie Wonder
I'll Be Good To You,The Brothers Johnson
A Mother For My Children,The Whispers
Why Me,Kris Kristofferson
Point Of Know Return,Kansas
Remember Me,Willie Nelson
Sultans Of Swing,Dire Straits
Feel Like Makin' Love,Bad Company
I Want'a Do Something Freaky To You,Leon Haywood
The Homecoming,Hagood Hardy
Hitchin' A Ride,Vanity Fare
I Can't Stand The Rain,Ann Peebles
Then She's A Lover,Roy Clark
Suspicions,Eddie Rabbitt
Love Me Right,Denise LaSalle
I Won't Last A Day Without You,Maureen McGovern
Sunshine,Enchantment
You've Got To Take It (If You Want It),The Main Ingredient
Fool Me,Joe South
Your Smiling Face,James Taylor
Don't Stop Believin',Olivia Newton-John
Happiness Is Me And You,Gilbert O'Sullivan
Sister Mary Elephant (Shudd-Up!),Cheech & Chong
I Call Your Name,Switch
Step Out,The Mamas & The Papas
Top Of The World,Carpenters
Kiss You All Over,Exile
Midnight Blue,Melissa Manchester
That Once In A Lifetime,Demis Roussos
Keep On Dancin',Gary's Gang
Remember (Walking In The Sand),Louise Goffin
Standing At The End Of The Line,Lobo
Let's Work Together (Part 1),Wilbert Harrison
Time Bomb,Lake
Helen Wheels,Paul McCartney And Wings
Promised Land,Elvis Presley
Superman,The Ides Of March
Is That The Way,Tin Tin
Life Is A Carnival,The Band
Action,Sweet
Handy Man,James Taylor
Loving Arms,Kris Kristofferson & Rita Coolidge
My Baby Loves Lovin',White Plains
Copacabana (at The Copa),Barry Manilow
I Never Said I Love You,Orsa Lia
Charmer,Tim Moore
Somebody's Gettin' It,Johnnie Taylor
Saturdaynight,Herman Brood
Ace Of Spade,O.V. Wright
All Right Now,Lea Roberts
You're Throwing A Good Love Away,The Spinners
Funky Party,Clarence Reid
I Wouldn't Treat A Dog (The Way You Treated Me),Bobby Bland
Beginnings/Colour My World,Chicago
Colorado,Danny Holien
I Feel Sanctified,Commodores
Thinking Of You,Loggins & Messina
Long Live Rock,The Who
One Fine Morning,Lighthouse
So Many People,Chase
I Don't Want To Be A Lone Ranger,Johnny Guitar Watson
Annabella,"Hamilton, Joe Frank & Reynolds"
Shine A Little Love,Electric Light Orchestra
Psychedelic Shack,The Temptations
Precious Love,Bob Welch
(You're) Having My Baby,Paul Anka with Odia Coates
Funky Worm,Ohio Players
Your Side Of The Bed,Mac Davis
Je T'Aime...Moi Non Plus,Jane Birkin Serge Gainsbourg
You're Sixteen,Ringo Starr
Baby Love,Mother's Finest
Brown Eyed Girl,El Chicano
"Honey, Honey",ABBA
Sweet Harmony,Smokey Robinson
Stillsane,Carolyne Mas
Bang A Gong (Get It On),T. Rex
Still Water (Love),Four Tops
Save Your Kisses For Me,Bobby Vinton
Free,Chicago
Live It Up Part 1,The Isley Brothers
All The Kings Horses,Aretha Franklin
Pin The Tail On The Donkey,The Newcomers
'til It's Time To Say Goodbye,Jonathan Cain
Shower The People,James Taylor
For The Love Of You (Part 1&2),The Isley Brothers
Give A Little Bit,Supertramp
"Sugar Sugar/Cole, Cooke & Redding",Wilson Pickett
Party Line,Andrea True Connection
Rainbow In Your Eyes,Leon & Mary Russell
Somethin' 'bout 'cha,Latimore
There Will Come A Day (I'm Gonna Happen To You),Smokey Robinson
You Make Me Feel Brand New,The Stylistics
Fire And Rain,Johnny Rivers & Friends
You Light Up My Life,Debby Boone
Where Were You When I Was Falling In Love,Lobo
La La Peace Song,Al Wilson
Follow You Follow Me,Genesis
Run Home Girl,Sad Cafe
Turn Your Radio On,Ray Stevens
I'm Falling In Love With You,Little Anthony And The Imperials
Oh Very Young,Cat Stevens
Your Love,"Marilyn McCoo & Billy Davis, Jr."
U.S. Of A,Donna Fargo
Rescue Me,Melissa Manchester
Ghost Dancer,Addrisi Brothers
Gee Baby,Peter Shelley
Mister Can't You See,Buffy Sainte-Marie
Keep Our Love Alive,Paul Davis
(Love Me) Love The Life I Lead,The Fantastics
Peace Of Mind,Boston
Things,Anne Murray
Lonesome Loser,Little River Band
(Bringing Out) The Girl In Me,Maxine Nightingale
Walk On Water,Neil Diamond
Gypsy Woman,Brian Hyland
Linda On My Mind,Conway Twitty
Dancin',Grey & Hanks
"Fire, Baby I'm On Fire",Andy Kim
Roll Over Beethoven,Electric Light Orchestra
Me And My Baby Got A Good Thing Going,Lyn Collins
Do It Baby,The Miracles
You've Been My Inspiration,The Main Ingredient
It Do Feel Good,Donna Fargo
Elected,Alice Cooper
God Only Knows,Marilyn Scott
Nice 'N' Naasty,The Salsoul Orchestra
Cindy Incidentally,Faces
"Never, Never, Never (Grande, Grande, Grande)",Shirley Bassey
"Wonderful World, Beautiful People",Jimmy Cliff
I Just Want To Be Your Everything,Andy Gibb
Hollywood,Rufus Featuring Chaka Khan
Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders
(Sittin' On) The Dock Of The Bay,Sammy Hagar
Jive Turkey (Part 1),Ohio Players
Cracklin' Rosie,Neil Diamond
Yesterday Once More,Carpenters
A Lonely Man/The Man & The Woman (The Boy & The Girl),The Chi-lites
In The Bottle,Brother To Brother
Day Tripper,Anne Murray
Kentucky Rain,Elvis Presley
Let's Give Adam And Eve Another Chance,Gary Puckett And The Union Gap
Rosanna,Dennis Yost And The Classics IV
"Yester-Me, Yester-You, Yesterday",Stevie Wonder
Soul Je T'aime,Sylvia And Ralfi Pagan
Amos Moses,Jerry Reed
Pieces Of April,Three Dog Night
No Chance,Moon Martin
Have You Seen Her,The Chi-lites
"""Roots"" Medley",Quincy Jones
I Want To (Do Everything For You),The Raelettes
Help Me Rhonda,Johnny Rivers
The Zip,MFSB
Yours Love,Joe Simon
Do Your Dance - Part 1,Rose Royce
Am I Losing You,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Ridin' My Thumb To Mexico,Johnny Rodriguez
Mighty Clouds Of Joy,B.J. Thomas
School Teacher,Kenny Rogers & The First Edition
Ain't That Peculiar,Diamond Reo
Light Up The World With Sunshine,"Hamilton, Joe Frank & Dennison"
Wheels Of Fortune,The Doobie Brothers
I'm Not Gonna Let It Bother Me Tonight,Atlanta Rhythm Section
"Freddie's Dead (Theme From ""Superfly"")",Curtis Mayfield
If My Friends Could See Me Now,Linda Clifford
Just You 'n' Me,Chicago
Best Thing That Ever Happened To Me,The Persuaders
"Mama Was A Rock And Roll Singer, Papa Used To Write All Her Songs Part 1",Sonny & Cher
If We Make It Through December,Merle Haggard
I'm A Stranger Here,Five Man Electrical Band
Dance With You,Carrie Lucas
Everything Is Good About You,The Lettermen
C'est La Vie,Greg Lake
We're An American Band,Grand Funk
One Love In My Lifetime,Diana Ross
Gimme Dat Ding,The Pipkins
