Inspector Gadget,The Kartoon Krew,spotify:track:05gNNySi0N20CpbNiYynCy
Thanks to You,Sinnamon,spotify:track:7r6YcBQfamIP8rRZK4sNo9
Lovesong - Extended Mix,The Cure,spotify:track:6BcnFPbYP63PjedyBMWiQD
Just Us,Two Tons Of Fun,spotify:track:71fnf5q09LNyx6MEEBDwSA
The Stroll,The Diamonds,spotify:track:4hKtaVTrYqmflvc1jb21MC
She Has A Way,Bobby O,spotify:track:0eGOA5qcyPOOO8eZmQd1KY
Dig for Fire,Pixies,spotify:track:3sSI906DlEImqFtH9SWJC0
Glycerine,Bush,spotify:track:0l9l90a1zB3wUObtwWbqHy
Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
Padlock - Larry Levan Mix,Gwen Guthrie,spotify:track:2ZM6cFkNH1YgLQKcj7PkHx
Champagne From A Paper Cup,Death Cab for Cutie,spotify:track:3flm6AsfohZvcfvi1NZIpu
U Can't Touch This,MC Hammer,spotify:track:1B75hgRqe7A4fwee3g3Wmu
Backslider,Toadies,spotify:track:5b7XGW6Ss95mofffZdzXuy
100%,Sonic Youth,spotify:track:5bNpYsNWgvF3kLC54vplp8
Gas Money,The Rip Chords,spotify:track:7AhkAjhp1zgdJWv7wVpNCl
Johnny Angel - Single Version,Shelley Fabares,spotify:track:5j4CGIpT35ipZrF93ejrhl
You Are The One,TKA,spotify:track:4Jqw3L02yfNMfrxYIfr8Gd
Chick Magnet,MxPx,spotify:track:4KLsA7o43EsGg2swkuol2J
In The Middle Of Nowhere,Dusty Springfield,spotify:track:6Y1yqwPRBgAwbnmuvJaPdL
Dos Gardenias,Buena Vista Social Club,spotify:track:6qA5RtYnpZ1i6YzYe4BriJ
"Snap Your Fingers, Snap Your Neck",Prong,spotify:track:7hgtn706RqLE5q1mWe8aQx
Come Out and Play,The Offspring,spotify:track:5JJDu0Z5DKe7mR31MGksSg
Little Darlin',The Diamonds,spotify:track:0f7JTPN46BnWiRGb5A1fft
King Of My Castle - Roy Malone's King Mix,Wamdue Project,spotify:track:4XZwpHpscrMkbpQPqjnwRJ
"Reach Out, I'll Be There",Four Tops,spotify:track:2TARjNaeT3ImhWvSOcDw92
Mother Mother,Tracy Bonham,spotify:track:6WGaVdhY8uMWMgxiKpdLVy
Closer to Free,Bodeans,spotify:track:0xw22cJECqEQ8RlH0H4sHr
Bull In The Heather,Sonic Youth,spotify:track:6px1KhTqAfxdcF6A1JGSpx
Only When I Sleep,The Corrs,spotify:track:36DztiNpSIH5ZHTwmqthHW
One Step Ahead,Aretha Franklin,spotify:track:0dSRoWYf0GOzX9L44g53sZ
I Go Blind,Hootie & The Blowfish,spotify:track:060AenZFpUKot40Pv0CJ0l
Make It Mine,The Shamen,spotify:track:0qpbT8kXNOaSZGEvY6vjpu
Linoleum,NOFX,spotify:track:4uB28m7RAflobYpnLMb6A2
Mulder and Scully,Catatonia,spotify:track:4RAD0ENNSFiT31DoqT9HDm
Midnight Train to Georgia,Gladys Knight & The Pips,spotify:track:2B1LNMj2w3KUsxODMo2Ysg
Summertime Blues,Blue Cheer,spotify:track:6iWaf45YIhj0YT8GFGxsw0
I Don't Care Who Knows It,Duke Pearson,spotify:track:4iKP34WG1Nueu9nUDVi7Yt
Talk To Me,Joey Moskowitz,spotify:track:14QzP71jNp2vTBzT7KDwaA
Yesterdays,Guns N' Roses,spotify:track:0SvH3iaSrSb8zZnMCEis6C
Buckaroo,The Flying Burrito Brothers,spotify:track:3YnogekSQMW1GxGZFCLxRK
What It's Like,Everlast,spotify:track:7pMVB2oz4Q4SlfTvvevNro
Since I Found My Baby,Cornelius Brothers & Sister Rose,spotify:track:7ioli04BC5rpLV8Eovt4Rb
Army of Me,BjÃÂ¶rk,spotify:track:3FEHdbqGaZ1VjX2pSCHNOH
Forkboy,Lard,spotify:track:25rmulFJwUrYY2C5SGuTTS
How Do You Do It? - Mono,Gerry & The Pacemakers,spotify:track:601a0vnyLYe7pzLKVjKSha
Paper Round,Audience,spotify:track:1lDE9aXrHBwZKhVzbvsA1C
One Shot at Glory,Judas Priest,spotify:track:2n7EiCahswilIBEmCOsjLs
If I Say Yes,Five Star,spotify:track:7ajCddd4v6rYvmixeVIklF
Two Dozen Roses,Shenandoah,spotify:track:0e05wFNr6zg1ULcp4NKs1p
Honeysimple,Scarce,spotify:track:3m7JuCfmUFmiFR9s1xlqxk
Yes! I Am a Long Way from Home,Mogwai,spotify:track:2qIfUXMJV7U3dwJssM2BsN
Sight of You,Pale Saints,spotify:track:2XMwak0QKaukNo502mcufY
The Act We Act,Sugar,spotify:track:5JVsMFqGPNBmNw2ddwxtLH
The Bad Touch,Bloodhound Gang,spotify:track:5EYdTPdJD74r9EVZBztqGG
Santeria,Sublime,spotify:track:6cJqlSO19vsfCsH1FeFI35
Don't Look Back,Barry & The Remains,spotify:track:5CXiZKMQRz1IJaYQbyGiII
Your Star Is Killing Me,Chisel,spotify:track:1qWb5aNix6FisJqqDYrHsR
And the Angels Sing,Della Reese,spotify:track:1kP0auRqZ5eeKnE3NcFjvh
Ocean Club,Yello,spotify:track:47AX4BU8ozjErjGVYcKMt0
My Dreaming Hill,Flying Saucer Attack,spotify:track:4xVb769QQHzWlGR9L9Flbl
That Don't Impress Me Much,Shania Twain,spotify:track:0KvLsZYwodakWxOQUYAR5I
A Salty Salute,Guided By Voices,spotify:track:18lUaFqM9TcaDELUmxsJIY
"Guess I'm Falling In Love - Live At The Gymnasium, New York/1967",The Velvet Underground,spotify:track:4eYlXlsyPdYkkzJidgI2rZ
Maybe I Know,Lesley Gore,spotify:track:6G7Ftdkp2geGBdhTV6rpGH
"6'1""",Liz Phair,spotify:track:3adIx1sLljP15PJ8DRkkDX
Fight the Youth,Fishbone,spotify:track:4gcKigEV6Ruix4ryUbzcpR
Gee Angel,Sugar,spotify:track:1SLhni7wZ6uZkiSjp6KAEE
Lady Picture Show,Stone Temple Pilots,spotify:track:6y1I8cGzw6KWy2zPA572Jq
Superman's Dead,Our Lady Peace,spotify:track:1612JQ4JxS8bm5ky53N3bH
Papal Breakdance,Psychic TV,spotify:track:5eWkmBjElZzBwgaDIikBUN
ÃÂnema,TOOL,spotify:track:0nLOl4fSiBZKGFla5pLUtf
F-Olding Money,The Untamed Youth,spotify:track:2na7h5vMQsb6EYE8fxiqsk
"On Green Dolphin Street - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:3hIMXAsKqBm3zJlFRAMwfI
Still Got the Magic (Sweet Delight),Michael Wycoff,spotify:track:5cCvQZqm1gePbs3S44lfWN
(Is Anybody Going To) San Antone,Doug Sahm,spotify:track:6y6KPXg6Q3jbWycKzOxZb6
The Skills of the Star Pilot,Butterglory,spotify:track:4rtuBEc47PlISEhT6cIyiy
Couldn't Know,Paw,spotify:track:0sbSKA3PrRb8y0HtJ9mmIu
The Vibrator,Jack McDuff,spotify:track:1T9gxnQ1LNJZxNclwrNBcC
Show Me the Meaning of Being Lonely,Backstreet Boys,spotify:track:1mutOzfgO49cWVjXt0ofqd
Round 'N' Round,Germs,spotify:track:3ylrUjNWaXfnGIYRuKJtiX
I Got A Girl,Tripping Daisy,spotify:track:5fxfwjQ1OmbnkOlg39HsSO
I'm Not Your Stepping Stone,The Stillroven,spotify:track:5WhzhYoico5CQdzp95Ieix
Sad But True,Metallica,spotify:track:1Ug98CRiQYu7wiSym4uLY4
I'm Always Drunk In San Francisco (And I Don't Drink At All),Nancy Wilson,spotify:track:75v6Iil3NwEyac1y3EBKi3
Via Chicago,Wilco,spotify:track:58nPDufBVhMa2bT8G59CzS
Witchcraft,Frank Sinatra,spotify:track:6KCHAhIxry1g0t6HcLep7c
C.R.E.A.M.,Wu-Tang Clan,spotify:track:119c93MHjrDLJTApCVGpvx
ÃÂlÃÂ¼m Allah'ÃÂ±n Emri,BarÃÂ±ÃÂ ManÃÂ§o,spotify:track:7yCEiIRLG2Uz0iF12vEZbP
Love Is All Around,The Troggs,spotify:track:49vxYkjigMKV3wR7rUlmDZ
I've Got Dreams to Remember,Otis Redding,spotify:track:4Ym0HjYfgEaUgjI3WuDqMK
Iris,The Goo Goo Dolls,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs
In Vivo - The A List Version,Wire,spotify:track:1jR3vGXz4cAQ1Bg0fOk3XQ
Everything To Everyone,Everclear,spotify:track:1ehYgygYqN9SRpTMYT1zYV
Heat Lightnin' - LP Verson,Tuscadero,spotify:track:0CJXFnXAqUxjTTgXrQ3LVa
It's Only A Paper Moon,Nat King Cole,spotify:track:7pVEMg7yPouZrE6h6iZAgy
I Want To Hold Your Hand,Al Green,spotify:track:54h62k5hSoqIsCgeqPdsiO
Venecia sin ti - Que c'est triste Venise,Charles Aznavour,spotify:track:4z3HhHDG9CK5sUtFduNKl3
Feed the Tree,Belly,spotify:track:3L19vBWH4jTHNXbuBaHbUN
Seven,Sunny Day Real Estate,spotify:track:1QpHhKFLbcN2alQ9YFRL0l
Scooby Snacks,Fun Lovin' Criminals,spotify:track:0AwxXvGoYpioYfJeafgvTD
Army Ants,Stone Temple Pilots,spotify:track:6Hv2dcv2Ph9qgpghww6VQf
Time,Alcohol Funnycar,spotify:track:5DSAwR2FIzTIsMOkuxMZdm
You Do Something To Me,Paul Weller,spotify:track:6hKi7fbGQu9gqfgc6TTeX9
I Alone,Live,spotify:track:3LpnzPxkMI6XS4JCbhNeek
This Girl's In Love With You,Dusty Springfield,spotify:track:0OZv8V1O1FSiNjrYKBiPW6
I'm Gonna Get Married,Lloyd Price,spotify:track:1jKcwPfDloLOMxC1wMV0ux
Bold Soul Sister,Ike & Tina Turner,spotify:track:4Bdv9gPx1Efb1lYH5V0XYa
I Don't Want to Wait,Paula Cole,spotify:track:5MDQNJ7SZTytJwCbWKqJDL
Bottom of the Sea,Billy Childish,spotify:track:2DDouU945MqNLeF26ofLxa
The Next Episode,Dr. Dre,spotify:track:4LwU4Vp6od3Sb08CsP99GC
Alive With Love - A Love Letter,Tina Fabrique,spotify:track:4N7X8mkFkjpf0yS29MxITP
Love Child,Diana Ross & The Supremes,spotify:track:0pOpAQ7568dzOsuwbcc7Bv
Rusty Cage,Soundgarden,spotify:track:2s53BFN2aKtiBA93tRQtGj
September,"Earth, Wind & Fire",spotify:track:5nNmj1cLH3r4aA4XDJ2bgY
Dirty Boots,Sonic Youth,spotify:track:5X9c0LL84kJN8Ok2UC6B6w
I'm Ready,Royal Trux,spotify:track:5yVMq7huSox5QNYYUG5Q2R
I Choose You,Willie Hutch,spotify:track:6GEq2FrZksbrO3otMV9ZDh
Papa Loves Mambo,Perry Como,spotify:track:5A4gzphhD7SyZZhQeda8Vv
Pushit,TOOL,spotify:track:4CbHM5bpfOfMNxNgVDHJRw
Mesopotamia,The B-52's,spotify:track:08xvWfWdh3nh6b3vEKbTBQ
One Man Woman,Barbara Lynn,spotify:track:78VmLqJtUMfAeBDFWeK9F0
Spring Love,Stevie B,spotify:track:7AerKsdhVndT6uPTb4XXbJ
Wave Of Mutilation,Pixies,spotify:track:3Wu1gIRu6Tkmb9eJaPsZOO
Full Circle,Collective Soul,spotify:track:0MUIYwMzUzEGchfIfsriJK
My Guy,Mary Wells,spotify:track:7rUPIW0pQoshbOtysdlWX2
Blank generation,The Heartbreakers,spotify:track:2hTRS1prVDz46h4FHG9aLh
Three Years Ago Today,Built To Spill,spotify:track:6fWGocXiXJuIkRxnyOLKUJ
For Your Love,The Yardbirds,spotify:track:119oZdU7SdgcBAx4mTwkOM
The Whiskey Ain't Workin' (feat. Marty Stuart),Travis Tritt,spotify:track:4Mncwn3GoNWdyXLWrcRJpW
Little Girl of Mine,The Cleftones,spotify:track:6YI7hHSjotVuw7czjRNCBN
Sad But True,Metallica,spotify:track:5pQYjzkALsgYOcFTC8DMmU
The Truth Shall Make You Free,The Mighty Hannibal,spotify:track:5iJ8Ow2GcWKdUWwxDPhXoG
How Soon Is Now?,Love Spit Love,spotify:track:0DIDgniNQL9y96g0zj5uqL
This Shrieking Love,Moist,spotify:track:5rWroxeFftXJp8GZmpnmvN
Why Do I Cry,The Remains,spotify:track:1TEbR56AP1kNHwMVrHksLd
Two Princes,Spin Doctors,spotify:track:0cuq829zRNq4AEdmDJA4aw
Psycho,The Sonics,spotify:track:77DvhwGhnmfrXWwiJzeIMC
Out of Hand - Extended Version,The Mighty Lemon Drops,spotify:track:4w05QDY5c3KnoFoiuUFhf3
Just Like Me - Remix,Paul Revere & The Raiders,spotify:track:2UYmhNeMJJzfanoTuZleBQ
Deal Me In,Bantam Rooster,spotify:track:0TUIK6xd34IpNiw6CrAivi
Round Ã¢ÂÂNÃ¢ÂÂ Round (Studio Recording 1977),Germs,spotify:track:6KRNWQe0zcSA2NB4Sd0Rnw
Funn,The Gunchback Boogie Band,spotify:track:3mCyWicf3WPPYyDQCibWW4
Heartache,Gene Loves Jezebel,spotify:track:01y5MHrVBEarzehRORk9m8
Sinatra,Helmet,spotify:track:5n4HiXIkGjxlBlbeUbbBsv
The Secret Ocean,Elf Power,spotify:track:50KUFJclysZnDp69onxM9y
El Farol,Santana,spotify:track:1u0ZfkVGEM8dQ1vMcLXu1K
Here Comes The Sun - Extended Version,Fat Larry's Band,spotify:track:4c8JZipTtVYMoAG35Unxs6
Chain of Fools,Aretha Franklin,spotify:track:3tv4YPWMAjrfS8GPwXPtFA
Molly Mae - Unreleased Version,Johnny Maestro,spotify:track:0KXkd2tiVH5riTwKxLU5i6
Dead & Bloated,Stone Temple Pilots,spotify:track:658Ng56tIu4gb5gFDuXNcY
My Yada,Flamin' Groovies,spotify:track:3uRLW6Rl1nvVpOLZLtqoIZ
"Go Wild In the Country - 12"" Version",Bow Wow Wow,spotify:track:5osqOa8VE17L0bhrzpvHNe
Duel of the Fates,John Williams,spotify:track:1ghlpxVfPbFH2jenrv9vVw
Everything Counts - US Version,Depeche Mode,spotify:track:4n4Kai2HGZZWCU3lXq2WEk
Jimmy Mack,Martha Reeves & The Vandellas,spotify:track:5PVhe4ZseeCW8icDTbIcQJ
"Touch, Peel And Stand",Days Of The New,spotify:track:0eKCfj7xCuJNoYrLlSJe59
Throat Locust,Tad,spotify:track:4duKYWKr0XMTMRcUzP2SKm
Hey Jealousy,Gin Blossoms,spotify:track:1ZoHRnS5U4m7V5pgvFiK1N
I Wonder If I Take You Home (with Full Force),Lisa Lisa & Cult Jam,spotify:track:3T2EHbivF5iEO9C9I2tDAJ
Playas Oscuras,Los Visitantes,spotify:track:5N7oqsGGw7zQ8PVfAKS4XY
Rusty Cage,Soundgarden,spotify:track:6hqIXyo6GxydAnoI8XeIrV
I'm So Hot For You,Bobby O,spotify:track:0SrKiopba35reTprMdu3ST
Jimmy,TOOL,spotify:track:09KJ3XQZ9RQ5prbSp59Wbc
Jazz (We've Got) - Re-Recording,A Tribe Called Quest,spotify:track:6KpS6WqJSjSFPIGs9wqf4u
Terrorist,Heavens To Betsy,spotify:track:6ume7EqgVQPbZU99owNLVI
Lie For A Lie,Built To Spill,spotify:track:3APriwCZUb8KSSSCFeQ3l0
Vainly Clutching at Phantom Limbs,Elf Power,spotify:track:6ejZl9mh99YhJv2GkTuPjU
Tonight I Think I'm Gonna Go Downtown,Jimmie Dale Gilmore and the Flatlanders,spotify:track:0rFdpSL1zz0gtKtgISdmHR
Do You Love What You Feel - Magic Juan's Smoking Remix,Inner City,spotify:track:3ziWGy9y0nep8NXTyobA9Q
King Midas in Reverse,The Hollies,spotify:track:5ejhLHGjm8AYIKHv01LC1K
Fast As a Shark,Accept,spotify:track:79FdyI4F44GFPI6HGFfCfA
Stoned Soul Picnic,The 5th Dimension,spotify:track:6AZQVQiAggqRlTR6ien7Cy
I Don't Care,Magnapop,spotify:track:651kKFWjzSKDWmc8Ykb9jY
Unsung,Helmet,spotify:track:0z25tUQgEI4cIyNZ1TgWig
My World Fell Down,Sagittarius,spotify:track:5k0QqnRx7NKihQ7LXSv4wA
Don't Knock My Love,Ronnie Foster,spotify:track:4EHlVZijbAKu0yMxeoHi73
It's About Twilight Now,My Morning Jacket,spotify:track:0C9J9HuYDtd1ao9tsP0MEH
The Song Is You,Grant Green,spotify:track:74DfWZUhgPemOJ7JpX8HHO
Speak of the Devil,Things To Come,spotify:track:0BsN9w3KKYx26Cy7VtRPmS
Never Gonna Let Him Know,Debbie Taylor,spotify:track:4JeMhwaWomX8RcOwLxTgWi
10 Days Late - 2008 Version,Third Eye Blind,spotify:track:5XD4ta5JSf6CNmDPfTYZeG
Kiss from a Rose,Seal,spotify:track:3YKptz29AsOlm7WAVnztBh
Papa's Got A Brand New Bag,James Brown,spotify:track:6v4gV9s0pnwKbmF1yk5knO
How Come U Don't Call Me Anymore?,Stephanie Mills,spotify:track:40qKX5MEvZOxSr9moxqOZl
Dandy Life,Collective Soul,spotify:track:3taHOT15C0OsmXh6voXCdN
Supersatellite,Our Lady Peace,spotify:track:1iju3YCqz2XEf6e4K4n4cp
In Circles,Sunny Day Real Estate,spotify:track:3XTXwcIu8tC9kwRFIfCIjT
The War Song - Ultimate Dance Mix,Culture Club,spotify:track:64UNKNooeTcOGwy2zTAdcy
Hurtin' Kind of Woman,The Freeborne,spotify:track:4wKIfxjfHN5OEZdSu6CmcM
Friday I'm in Love,The Cure,spotify:track:263aNAQCeFSWipk896byo6
Sleep,Sad Lovers And Giants & The Essence,spotify:track:5VxLmt23xArs57Zv7sDWsu
I Want To Be In The Land Of Milk And Honey,Vicki Anderson,spotify:track:4MRrCCjo6U3oBBunSlcyjB
Jesus Christ Pose,Soundgarden,spotify:track:2UoHjfejHhemj0KSWCOV2A
You Took My Moonlight Away,The Poppy Family,spotify:track:3cSwjdl7SAxMepWMdOJ9OG
"Baby Man - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:3xtjIkODH2XDWkpw0keOjc
Violently Happy,BjÃÂ¶rk,spotify:track:1oyRhrmdRoJj0rUe7b22FS
Roman P.,Psychic TV,spotify:track:68Q2sSxAF8DiH4rnpkglt0
'74-'75,The Connells,spotify:track:0QxCLD4xJlE8vv0Cvrb8TO
Bing Bong,The Silhouettes,spotify:track:1F7ncepdeBif6avy3wTTHS
Go For Soda,Kim Mitchell,spotify:track:7jPHNXpJCVZQvSRf4F1WLB
Dee Tour,Karen Young,spotify:track:20OV3COMIypdLOqywOidu5
Stop! Get a Ticket - Stereo Single Mix,The Clefs Of Lavender Hill,spotify:track:7CzsQaxOCUXNLrxQ3uTENN
Sad Tomorrow,The Muffs,spotify:track:0Ed2RTulkL3kp1n4a4c1RN
Downtown Woman Nadine,Southwest F.O.B.,spotify:track:06K6iEVnTAYUPehx8Wd445
Showing Out (Get Fresh At The Weekend) - Extended Version,Mel & Kim,spotify:track:06BZjvTKEriPXLarbJa8Up
Bodyshakin' - Radio Mix,911,spotify:track:2tCrepYvlN3u0XUjDexGx2
Souls of Black,Testament,spotify:track:5zAN2OQJsmcBVG1oO5QroD
Mmm Mmm Mmm Mmm,Crash Test Dummies,spotify:track:31v2AQlx4pDI7kmnLxBkem
She's Crushing My Mind,Team Dresch,spotify:track:0YivLjulKNUsVuVdjIyupQ
Honey To A Bee - Latin Rascals Mix,Tina B,spotify:track:049p5AweSEG4CFFeRzS4XL
The Watusi,The Vibrations,spotify:track:5hleF20R6SrI99rz269cSS
"John Brown's Body - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:2rIWxifoHhuwMPQKb9Mg0x
Fairplay,Soul II Soul,spotify:track:1ktt0ue2M9L2kZvfZsT7rX
Where The Streets Have No Name - Single Edit,U2,spotify:track:4wdsLAZRU3eR3pqYkUKh0G
Flagpole Sitta,Harvey Danger,spotify:track:7cz70nyRXlCJOE85whEkgU
Make The World Go Away,Timi Yuro,spotify:track:5ZyV6v7aBOMEY39VbREblS
Come-On-A-My House,Della Reese,spotify:track:6qQJBjuWNFyziEPkAGLesG
Please Mr. Postman,The Marvelettes,spotify:track:79SCNxGlJ7KMz7RVrkw44w
As,Gene Harris,spotify:track:1FM8YPPZ4Zc2qdehXkxOtc
"Wild And Crazy Love - 12"" Mix",Mary Jane Girls,spotify:track:4PJNqfDw3lDoiQ1Pnbvebb
Kick Him When He's Down,The Offspring,spotify:track:2qDos6FLuDlN868vp0EY8z
Dirt,Death In Vegas,spotify:track:4LOBq70NlI97iJ5wKwJW1D
Let's Stay Together,Al Green,spotify:track:3eMw0VMpuRA9plOkjQ54Kp
Underground,Ben Folds Five,spotify:track:08nT8qF5kq55XBypRz8wzJ
Just One Look,Lulu And The Luvvers,spotify:track:53zIdz4MUTzuBmWlQ7qGQn
Crucify,Tori Amos,spotify:track:0W4BtjtJcS4G1WWgKo1XUD
That Thing You Do!,The Wonders,spotify:track:4O6ZaZrRCFfiZZKjnrXqlk
Your Place Or Mine,The Bar-Kays,spotify:track:3YF27btY0N7oIwf2zK5pT4
Break Stuff,Limp Bizkit,spotify:track:4WJNMSihHL8e4hs9SkBq9C
Say It,Voices of Theory,spotify:track:5919i3Sp9U2IE5m7hhlgSw
Tragedy And Mystery,China Crisis,spotify:track:1LEOr5uGbxe62Ul8I9XHiC
When You're Smiling,Des O'Connor,spotify:track:4cJW0a93Wbs03aj5fr2k2a
Cats In The Cradle,Ugly Kid Joe,spotify:track:6DzuDDN9q4N29QXWDuQ8sx
I'm Waiting For The Man,The Velvet Underground,spotify:track:4vGurCluxDF08FPfJgAVqT
Shakin' All Over,Johnny Kidd & The Pirates,spotify:track:6Xv160PuntxAtb67Ed4t4I
Cherry-coloured Funk,Cocteau Twins,spotify:track:6sVQNUvcVFTXvlk3ec0ngd
Sittin' Up In My Room,Brandy,spotify:track:4330XmgVWlx98Y3Naswycg
Communist Daughter,Neutral Milk Hotel,spotify:track:72iYfBDEF6dNVeekA8ppyB
Crawlin',The Clovers,spotify:track:6hlcnjLgyS3WoLiKLGdS69
Venus De Milo,Television,spotify:track:3L3KIEN51634ZJg2DBDKHw
That One,Guzzard,spotify:track:5FDdBjFB6G7tRlNvAhheUo
Pretty Pain,Money Mark,spotify:track:5k58rJgg3b6efKhwbBljXJ
Why Go,Pearl Jam,spotify:track:337kipThk7s7nHJ8POg1jK
Swamp Song,TOOL,spotify:track:5q4L6JyoEY3VN5pOSbgjS8
Only Shallow,My Bloody Valentine,spotify:track:52UcjsM15hjCQAUbTW2hy1
Bluebeard,Link Wray,spotify:track:45o2mugLsOEPrnvj372r23
You Wanted More,Tonic,spotify:track:4328LiswXNpXdT57eYFFJN
Locuras Tengo de Ti,Silvana Di Lorenzo,spotify:track:4R27DohCw4cwoM0Ts67YgD
U-Mass,Pixies,spotify:track:17Qj1HcrBR00pmTvrs7vDW
Forgot About Dre,Dr. Dre,spotify:track:7iXF2W9vKmDoGAhlHdpyIa
She's so High,Tal Bachman,spotify:track:7mnGQesk1TzQLzQ9bYWZPR
Never Had A Girl,The Misunderstood,spotify:track:0KwbZlIbKH0ntZjrvPsxXU
Come As You Are,Nirvana,spotify:track:0keNu0t0tqsWtExGM3nT1D
Cum on Feel the Noize,Quiet Riot,spotify:track:6FBmHx1FuaSnTnnnaThgbF
No Voice In The Sky,MotÃÂ¶rhead,spotify:track:5BXqxkJcbpbDCrnfW9DB2N
Here Comes The Meter Man,The Meters,spotify:track:0FUlrhKwmozbn8xxLOGfHf
Sunday Sermon,Booker T. & the M.G.'s,spotify:track:1VQafOMVQSAngQwX8qe0FS
The Beautiful People,Marilyn Manson,spotify:track:2aIB1CdRRG7YLBu9hNw9nR
Shamrocks And Shenanigans - Butch Vig Mix,House Of Pain,spotify:track:78GgGmi84KkY1CSqxwJpCs
Something's Got A Hold On Me - Single Version,Etta James,spotify:track:5R5GQZg3Bc3adCnxKLKXxt
Ka Jeg NÃÂ¥ Dig,Bifrost,spotify:track:7IQ5TuTAGC8gIHXbHhyzl4
Military Drums - Extended Version,Hubert Kah,spotify:track:1HKttfRzitgNV1S9a87b9X
Head Over Heels,The Go-Go's,spotify:track:1p46bniF6fC9kT1v5yjJOI
Itchycoo Park,Small Faces,spotify:track:4SjbNgABPeyQNm8Lr9B0Ur
Havalina,Pixies,spotify:track:1vE3ciwUpbFnjwMJLp4zjg
Kids In America,Kim Wilde,spotify:track:02SQcBSULnUUm3QHxbF8H9
"Tonight, Tonight",Mellokings,spotify:track:44KCu0cY5QnVqtQr6JWI4P
My Sweet Dream,The Nutmegs,spotify:track:7ks8U4qxPxNaxLBELbbjEc
Late At Night,Buffalo Tom,spotify:track:277JGlZm8LMtOn8rCLQ1ho
"Shout, Pts. 1 & 2",The Isley Brothers,spotify:track:5TUa3AsgSh3kJIuXn42wig
Big Mouth Strikes Again,Treepeople,spotify:track:1btbx2FxPzaexX3PkPkyeG
Genie in a Bottle,Christina Aguilera,spotify:track:6onLnWywmbSnXDFPVY1mM6
Careless Whisper,George Michael,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY
X-French Tee Shirt,Shudder To Think,spotify:track:5h6OsJ1AakY9X9kflQwaMS
Just When You're Thinkin' Things Over,The Charlatans,spotify:track:6L8MryirN2Pd8HH64EKi3s
You Got Me,The Roots,spotify:track:4pdLZsxq0y5oJDb6Cxlokw
Emotions - Single Version,Brenda Lee,spotify:track:4ODCxzYw6FudmgDneqAHQQ
Painkiller,Judas Priest,spotify:track:59pBA1HUMol92PIIeJ0h9F
Sunset Now,Heaven 17,spotify:track:2J2FS4xCQjpOlGYuAQNrmv
Thunderstruck,AC/DC,spotify:track:57bgtoPSgt236HzfBOd8kj
November Rain,Guns N' Roses,spotify:track:53968oKecrFxkErocab2Al
Time Of The Season,The Zombies,spotify:track:0PIl0KV0opolkF84Xc8BgH
Caterpillar - Flicker Mix,The Cure,spotify:track:1KajuEci1IUjHl7t15rfPn
Twist & Crawl - Full Version,Death In Vegas,spotify:track:0hPB4MZ644g3LZpN6gVhPM
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & MÃÂ½a),Pras,spotify:track:31bf9SEOppLU6lQ85d8om6
A Sunny Day,Jon Lucien,spotify:track:1ksONaDHfoxl4Jcwhbe1he
Stand,MotÃÂ¶rhead,spotify:track:0kCs6o94q5qjyD3ARpNvms
Karma Police,Radiohead,spotify:track:3SVAN3BRByDmHOhKyIDxfC
FF=66,Jawbox,spotify:track:6PrFzT5tLigMmKGXhOUVrq
You Could Be Mine,Guns N' Roses,spotify:track:09PTdECef2Uxix7ma0HCxs
I'd Do Anything For Love (But I Won't Do That) - Single Edit,Meat Loaf,spotify:track:5BmkQH84Dm4jgVbepEfGuq
"What Was It You Wanted - Live at Madison Square Garden, New York, NY - October 1992",Willie Nelson,spotify:track:4IeAkgYTn7iGXbsPCkGU5r
Night Goat,Melvins,spotify:track:5JSk2ijn31XVo0x0wHyWTc
A Sunday Kind Of Love,Etta James,spotify:track:7ohRd2nzMP6dyPfzpbh5QV
My Heart Belongs To Daddy,Della Reese,spotify:track:0CCc9OhPxmJzpD0DTPTJCh
"Se Que Bebo, Se Que Fumo",Nicola Di Bari,spotify:track:6ghPrNLLqkZwIQvIwl7hZI
Mr. Blue,The Fleetwoods,spotify:track:6bnFjTW3EnMG4BwreDnSHK
Sweat,TOOL,spotify:track:3vjHuVFZGC0Bm2Ud0wNpgs
Playing for Time,Madleen Kane,spotify:track:2VzDr4U6uai6zZRuWN1hdv
Cannonball,The Breeders,spotify:track:51m0PrZokFZNk5b5xptyzC
Tom's Diner,Suzanne Vega,spotify:track:7f9sC9fvtjYSZYOLSmKJlq
Baked Beans And Chicken,Daytonas,spotify:track:2RUD5JSqQP6eWuAtqN9AnT
Instant Coffee Blues,Guy Clark,spotify:track:1yYJF5KYkFDMAtF48OrMHQ
The Boys Are Back In Town,Thin Lizzy,spotify:track:4QEbXYWpDDWHzXNINdZlzW
