HÃÂÃÂ©roe de leyenda,Heroes Del Silencio,spotify:track:6pAvXn45z0sktftypuEEzt
Telecommunication,A Flock Of Seagulls,spotify:track:44MKIwmLvfvcWzzFtueBUy
Shoot Your Best Shot - Remastered,Linda Clifford,spotify:track:4kviozLPPeydINdya4QRUH
Breakdown,Donna Summer,spotify:track:3IzllYQVKacODBVjgE5Yug
Heartbreak Beat,The Psychedelic Furs,spotify:track:5zhrN8WmndSttZEFzybGSs
History Lesson Part 2,Minutemen,spotify:track:45fq6kIQtooot7WVRsXAum
I.G.Y.,Donald Fagen,spotify:track:6bzwsAtj4TqaBysLDrGiO3
8th Wonder,The Sugarhill Gang,spotify:track:6m0wOLtrzaNwMofVVJTJqs
Oppenheimers Formiddag,KlichÃÂÃÂ©,spotify:track:70EEVEwkfYkQmH9OgZz9EZ
This Is the Day,The The,spotify:track:3FjYAj4hg5KiXpVAMjpLKq
One More Time,The Clash,spotify:track:4mE8JLk1QarP7FeLGCIeuP
Mr. D.J.,Joyce Irby,spotify:track:4ZVxQT72n4HCBBnHuogxL1
Spirits In The Material World - Remastered 2003,The Police,spotify:track:4AMlNIOfExpjVbuHufpqgb
Sign 'O' the Times,Prince,spotify:track:4Yenz5JZZOUiZSeyKY8bDz
Madhouse,Anthrax,spotify:track:6DRvu6LgU0wRF6Yr7WHRji
Into The Lungs Of Hell - Remastered,Megadeth,spotify:track:7hriWWyB26C1mgdnn6pbgm
Cara,Lucio Dalla,spotify:track:7uQuSHXICONzPv91hqMBmf
Live Wire,MÃÂÃÂ¶tley CrÃÂÃÂ¼e,spotify:track:06EC9TibZK2mACTZ2usK1h
The Killing Moon,Echo & the Bunnymen,spotify:track:15049rGLXHwrWtE4euUb5C
Going Back to My Roots,Richie Havens,spotify:track:6PFsub5iIJwrBb8qBRqmiV
Pacific 202,808 State,spotify:track:4Td9tG1hGP7ymuovvrUiDR
Hot on the Heels of Love - Remastered,Throbbing Gristle,spotify:track:3RrVhTwOeY1oZ4eZfeVxqT
Louie Louie,MotÃÂÃÂ¶rhead,spotify:track:7pHFPHMkIFRQKNlgsUOX8J
Paid In Full - Seven Minutes Of Music - The Coldcut Remix,Eric B. & Rakim,spotify:track:53jsu94iD70HMMGaHoSyT7
This Green City - Remastered,The Glove,spotify:track:797VZZYc7yhowIiZKih2og
Duel,Propaganda,spotify:track:4NkqxnxvXNUrYTYedqBkSZ
Moon Over Moscow,Visage,spotify:track:1dCRCByTP3Vj8XTyhPZ30A
Colors,Norman Riley,spotify:track:7HIIKVpaIWehFrniQUKCrp
Simply Beautiful,Lizzy Mercier Descloux,spotify:track:7EMpkYw3hjDdpfobVThuQA
Change of Heart,Cyndi Lauper,spotify:track:4Kvz5bhHNYPSaGnQ7PsTBi
Hypnotize,Scritti Politti,spotify:track:6vfGFeE0QhK6rdu4SX3NLC
Angel Of Death,Slayer,spotify:track:61dTqhd46yMkSWmC5LAh5F
Street Level,Zinc,spotify:track:5sgexAtoEZwV32SatRV2JX
See A Little Light,Bob Mould,spotify:track:7LdKMBKthcdBnAqlAIGqCB
(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,spotify:track:2XBsQSZqHPPAtZpRG6TvIm
Show Me - 2007 Remaster,Pretenders,spotify:track:0jd7dO9tw7BhW8zqKVgLY8
Girls & Boys,Prince,spotify:track:1MkfvXtx2S7cSs9aqLnMGs
Just Between You and Me,April Wine,spotify:track:4ubP3X72lADwGkwivA0bIw
Blue Highway - 1999 - Remaster,Billy Idol,spotify:track:1bOhX7hGai6t8ZwlxdU5BX
Are 'Friends' Electric?,Gary Numan / Tubeway Army,spotify:track:4OijpIXpqSTzeTDgeSxkD1
"All Tomorrow's Parties - 7"" Version",Japan,spotify:track:4lVN6yAe3UmktJLWPCSmLi
The Way I Walk,The Cramps,spotify:track:6dyku3NZZukkS8yhzWG9TU
One Thing Leads To Another - Extended Version,The Fixx,spotify:track:64riL71tfo3qbQIfyGreOV
Love Parasite,Fad Gadget,spotify:track:24ifWf75zkTyZ7fPMWl6iD
I Beg Your Pardon (I Never Promised You a Rose Garden),Kon Kan,spotify:track:3QtMzmaXaQnHp70RsAZ8rL
That's What Friends Are For,Dionne Warwick,spotify:track:1cOj24fUMnBSXhtp7waHVW
Cascade,Siouxsie and the Banshees,spotify:track:5OlUDa8cRbDqw9f5A0OKRA
Let the Good Times Roll,Shirley & Lee,spotify:track:48UygVtYSfcjeEyCtNR8nI
The Day Before You Came - Extended,Blancmange,spotify:track:5TyFgT2ohwgS1cZ0y2FGUo
Where Do the Boys Go? - Extended Version,Men Without Hats,spotify:track:2Xc0g036JZJYe7I3kANLC9
Prowler - 1998 Remastered Version,Iron Maiden,spotify:track:6qcxL8bYMvomUWx1wmVxZG
She's So Divine - The Mix,Forrest,spotify:track:5KVOa66HBgKGqbd0CxoYzL
I Can Make It Better,The Whispers,spotify:track:7go7XsMWDWFKWikwNXPy9u
Standing Ovation,G.Q.,spotify:track:2FDnW8KdpEIHypsGgSUYA9
I Won't Back Down,Tom Petty,spotify:track:0Ir0Esfpcg0EB6Kq8VbbAh
Open Up,Sophie & Peter Johnston,spotify:track:1V9CJt1JkRb325nEPaByhh
The Breakup Song,The Greg Kihn Band,spotify:track:3gHyNUxOEZq4VltRl2xUW4
Tied Up - Remastered 2005,Yello,spotify:track:5irCzxWLe74MI7ZbSYfmSc
Brothers In Arms,Dire Straits,spotify:track:7EmSPZ9f1AiLR9eVHNSI62
Now That You're Here,Altered Images,spotify:track:34FgcZhATg03fDCj6HHCdN
How Am I Supposed to Live Without You,Michael Bolton,spotify:track:3RMeOetCdXttthQK0clPuz
Don't Be Afraid,TKA,spotify:track:617FEJEabJeGOdr0kewMlB
I Want Out,Helloween,spotify:track:07QREe91FdXnDtJ2cBAVUs
Thighs High (Grip Your Hips and Move),Tom Browne,spotify:track:51Hi86XvW7X8MoCyhTITtM
We Don't Need Another Hero (Thunderdome) - Extended Version,Tina Turner,spotify:track:6gwQb02R2plJscSZr7QVoJ
Secret Separation - Single Version,The Fixx,spotify:track:5REQnO9yLDIQaKYSEFEifO
Daddy's Highway,The Bats,spotify:track:47e4s2ajEfOPgW2rLr562Q
Gentlemen Take Polaroids - Remastered 2003,Japan,spotify:track:5t2HOfJViZZxp0B7u6lXvV
Groove Control,Dynasty,spotify:track:1Q2jdTqrmhEecV0KUDvZJm
Happy When It Rains,The Jesus and Mary Chain,spotify:track:325ipyWkzIGakH2DJgDlOT
Big in Japan,Alphaville,spotify:track:3BZGi1yUqQyCNC868AqUGG
Wanting,Moev,spotify:track:4fjwpUCmWylZu14HGnA0s4
Could You Be Loved,Bob Marley & The Wailers,spotify:track:5O4erNlJ74PIF6kGol1ZrC
The Hurt,The Jacksons,spotify:track:1it3QjkUapBvfPsnHP8DZ2
Hail and Kill,Manowar,spotify:track:5HkvAtKEPDLmchWYmepqYB
Fortune,Felt,spotify:track:5mgQPoFDpLXxNpLHD5Z91K
The Light Is Always Green,The Housemartins,spotify:track:3sY3FzQD3Lz9LeGXV5yyDT
When I Change My Life - Denmark Street Demo,Pretenders,spotify:track:6wedcXfXHql8jMnSfUWYRg
Home Sweet Home,MÃÂÃÂ¶tley CrÃÂÃÂ¼e,spotify:track:4zXvB4MoQD8onk0NCZbeHG
Changes,The Monkees,spotify:track:215Zl5QWf58OG19bk4uIC2
I Want To Break Free - Remastered 2011,Queen,spotify:track:1MsBRSbt5dqJSw3RxXtvCM
Angel in Your Arms,Hot,spotify:track:1qOwgAjki5VN0G2kXEUCLG
Blackened (Remastered),Metallica,spotify:track:30mGnM5QNhzMVmIegDhfFs
Your Silent Face - 2015 Remaster,New Order,spotify:track:0eKRwDBVWxCXWpLYFYrbd1
The Voice,Ultravox,spotify:track:7epjLmARRoDSRdANe53eKu
Ride The Lightning,Metallica,spotify:track:1hvXfgrFC8oVgBiD0qwpKJ
Vanity Fair,The Ocean Blue,spotify:track:1ncKqx79zwVoXPH3gQUgNq
Is It Love,Gang Of Four,spotify:track:20qKKnW5t3grGDiLqk0fGh
Not Looking Back,Lyres,spotify:track:01w0iUmy0ZC8qqvnWuIdMI
Black Sun,Loop,spotify:track:5xQaWdkc5wKoEiNXRKoqAY
Suicide Solution,Ozzy Osbourne,spotify:track:64MTLwN6HY8D3i3HRp53Ht
Bostich (N'Est-Ce Pas) - Remastered 2005,Yello,spotify:track:3fnNdTSBqtwl4rhR1BPG8i
Changeling,Simple Minds,spotify:track:1MH6AEvEEjvOLc5OWCeJ3d
Killers - 1998 Remastered Version,Iron Maiden,spotify:track:01QNJZhCL2mqc1425ecT0C
Everybody's Talkin',Harry Nilsson,spotify:track:3c8JemHol1XwFFruXQxjCO
A Sad Lament,Orange Juice,spotify:track:0ue3M9G49T62lY0OGyL7qQ
(We Are) The Roadcrew,MotÃÂÃÂ¶rhead,spotify:track:32lgtFb4ROxx7bBnWUa94K
It's a Sin - Disco Mix; 2001 Remaster,Pet Shop Boys,spotify:track:3h4gvGsdq6gwRGWghnmJFh
Pretty Baby,The Milkshakes,spotify:track:15IZhtzC8mKdKGXoa9VF7V
Hold Me - Duet with Whitney Houston,Teddy Pendergrass Duet with Whitney Houston,spotify:track:5f2Cws3OoW324WOINcCGGD
He's so Shy,The Pointer Sisters,spotify:track:6R9NqD0WX9sJYs6PbA5onu
Genius Of Love,Tom Tom Club,spotify:track:6UGlSlhwl2MNhsrg5Wepq3
As Hard as It Is,Fine Young Cannibals,spotify:track:26teISDuOp3kfjQYs0qS1t
If You Wanna Get To Heaven,"Hank Williams, Jr.",spotify:track:1xsIPzVr2vykJk3JUqu4OQ
For Your Love,The S.O.S Band,spotify:track:2YvA2Ee3vq6E2pC8wriPrG
Peanut Butter - Larry Levan Mix / Bonus Track,Gwen Guthrie,spotify:track:0GVmRS7Zgg5fxrITQE1BYp
Taking It All Too Hard - 2007 Remaster,Genesis,spotify:track:6P2lntEX32VCDfkmPHrpxU
Acid Love - Hitmans Club Mix,The Beloved,spotify:track:5KGLTA7bdywcidNLZyRSWC
Is Vic There?,Department S,spotify:track:4brFeNicHZlzvFqbNR0XGx
"Your Loss, My Gain - Extended Version",Fuzzbox,spotify:track:5AG4yvor96GudHz4DFTW9J
Bullshit,Grace Jones,spotify:track:5PXsnU0bJpPN9XMgr32xgK
Positive Vibrations,The Soft Boys,spotify:track:1wtI9xWA8lvKQDg0TGvevf
Flaming Desire,Bill Nelson,spotify:track:35fuZPZNQQdZjxd1HNT2r6
Together Forever - House Of Love Mix,Rick Astley,spotify:track:4IpRMXImp07XAXKvJpERul
Kind of a Drag,The Buckinghams,spotify:track:5NfMMASaRz01fltWjbYoLu
I Can't Stay Away - Ron Hardy's Club Mix,Ragtyme,spotify:track:56krBXbrNe3f653OjzKKRX
Hours of Darkness Have Changed My Mind,Felt,spotify:track:31gzvjPFgQ5YjPQVO10U0w
Like a Virgin - Extended Dance Remix,Madonna,spotify:track:17WvhmXF06yquUwZjtjHsc
Spread My Wings,Troop,spotify:track:1b5SISCI3nhthZFcVSLgIF
Little Lies (Extended Version) - Remastered,Fleetwood Mac,spotify:track:3Y3wMofFJPAf6uVOnQghrb
Red Letter Day,China Crisis,spotify:track:4rJZvRvlkypw1m8AdTfpfL
It's so Serious - 1997 Remaster,Talk Talk,spotify:track:5cn70ksREqNHS2gMeh5I1B
Thinking Of You,Harlequin,spotify:track:6owkCwzq8idIe5ocu8FSAO
"Gonna Get Over You - 12"" Mix",France Joli,spotify:track:4mv8AttFlMNGQd6pzyh0NE
I Don't Know,Ozzy Osbourne,spotify:track:1cDu1ZVtBExJYohWBellWs
Yo no te pido la luna (Non voglio mica la luna),Daniela Romo,spotify:track:09uE7kHv2ESkvtInKugpGM
Give It Up - 1997 Remaster,Talk Talk,spotify:track:4lnfEXAPQio0T6cM7GbHeb
Lucille,Little Richard,spotify:track:0HZYpGe3850Xas4bE4unZz
The Jezebel Spirit,Brian Eno,spotify:track:0PYxXJYdv1JOfW1PVkMqv8
Losfer Words (Big 'Orra) - 1998 Remastered Version,Iron Maiden,spotify:track:1diil6QNeFAYLwCuNkuCxI
All Day Remix,Ministry,spotify:track:6dnVnVDhfaLdlS0pkJNb40
Every Way but Loose,Plunky & The Oneness Of JuJu,spotify:track:19kfhoM7VI77Yy81YmWagv
Ashes to Ashes - 2017 Remaster,David Bowie,spotify:track:37CRPk0L5ZpfPeePEPwE0t
Give Me Your Love - Extended Mix,Fun Fun,spotify:track:2Fi04my4DdDqNG8glUBoId
Like The Beat Of A Heart,Dio,spotify:track:1vvMVlRWW2e2Czh1fh4Leg
Game Above My Head - Long Version,Blancmange,spotify:track:7kR7tPo61bGFzaYI0zLYJC
Stamp Out the Termites,Electric Guitars,spotify:track:5nyxIg1Y3Zf90lRZtT7oJo
Boys Will Be Boys,Maureen Steele,spotify:track:5oivFpumssaTkftoTDXKf2
Little Lies - 2017 Remaster,Fleetwood Mac,spotify:track:4CoSCPlKNrWli7E5kFtbcl
Sun Flight,Silicon Teens,spotify:track:6quDLwGLfNZWxVIVMRbrqC
I Ran (So Far Away),A Flock Of Seagulls,spotify:track:2ABwxq8apC7uJkd38PByPc
I Want Your (Hands on Me),SinÃÂÃÂ©ad O'Connor,spotify:track:2Y0RrFJ7HcvGadAQHJQOiD
Spiders,Ozzy Osbourne,spotify:track:7lXQymxqIJLuctNrFAifFS
Work for Love,Ministry,spotify:track:2oIIBDET3kTCYFh3QABuF8
"All Night Long (All Night) - 12"" Version",Lionel Richie,spotify:track:3iEhpm51ZQ6HETqQ06Doky
Every Rose Has Its Thorn - Remastered 2003,Poison,spotify:track:43GS3mtezoIFiuIZCLLiDY
Here Comes Your Man,Pixies,spotify:track:0cs671lxX2eoDzr2KMuo3N
Don't Believe The Hype,Public Enemy,spotify:track:5k8dJvnLKfv1YN9W3bO79x
"Dead Giveaway - 12"" Mix",Shalamar,spotify:track:6soaK7VJmw2tB5OfapaFeO
Back To Nature,Fad Gadget,spotify:track:47Kxj6HoFSUUBnVw6tpZQB
19 - Destruction Mix,Paul Hardcastle,spotify:track:3zXfqoNsa6A4AO4AF028Ux
One Hot Night,Pure Energy,spotify:track:3uXyYQMDKwIVihngwztuiq
(I've Got Your) Pleasure Control,Simon Harris,spotify:track:7hv3yNMVnBxLTztRiH2saI
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,spotify:track:0XzaLfDRNYYXAQIF1yTMr1
Life By the Sea,THE NAMES,spotify:track:2D8ov6fqvb6cjtLw95PPM8
Love Affair With Everyday Living,The Woodentops,spotify:track:4xTKU7fsswD4x1FQJGebSE
The Ultimate Sin,Ozzy Osbourne,spotify:track:4qoX3gsSGPA3Y8yN6cSQ6n
China Girl - 1999 Remaster,David Bowie,spotify:track:1bki22ZoLCkqb0QIJ5PtJF
What We All Want,Gang Of Four,spotify:track:17YYnMu1HTrqSwWGJ7lqpP
I'll Do My Best,The Ritchie Family,spotify:track:25KtcsHvLIeNuu03u7S8Jn
Every Little Thing She Does Is Magic - Remastered 2003,The Police,spotify:track:5pDmunv6G71w7NSjOPXbYw
Birds Fly (Whisper to a Scream),The Icicle Works,spotify:track:4pWHlV64Ni9epy7RrKjFus
Solitaire,Laura Branigan,spotify:track:17RxTPSIGg0WP92dAiZliC
Living by Numbers,New Musik,spotify:track:2pugP777iY75myaoxMlsLf
Storm,Rare Silk,spotify:track:1cotJPbhAMOdrGqwi4BBEL
Running for Tomorow,Praying Mantis,spotify:track:5Edrmga4Mft8Rp4VbCXbYZ
Innocence,Harlequin,spotify:track:2ZqyqsV8VdEEm15vBQ4wZn
A Better Man,Clint Black,spotify:track:10UIQSUilyh2ttlFeAaaPP
Brass in Pocket - 2006 Remaster,Pretenders,spotify:track:1QaJWSCk3UMKLotnPCIHh1
Thorn in My Side - Extended Version,Eurythmics,spotify:track:3QhPfTACXeRXnGcSv4HJF7
Computer Love,Zapp,spotify:track:362zcsyXMLbL7PNLhOovvm
"Backfired - 12"" Remix",Debbie Harry,spotify:track:5bKmUn8eapvCV2CV6kQkd6
Heaven,The Psychedelic Furs,spotify:track:60ubljabcQKHeMpjiypBcH
Pillar to Post,Aztec Camera,spotify:track:3zGhhsJyv9wI9uP2r4Cznh
I Will Follow - Remastered 2008,U2,spotify:track:0T702y9ndzZTnPq1bqiAM2
Bop Pills,The Cramps,spotify:track:6Sz6xk1CHEaPd4qxrFhACB
Part Of Me Now,The Lucy Show,spotify:track:64kvuzCuTtJYbYm2YdneNo
Fancy Dancer,Twennynine,spotify:track:2unxrIBvfUcpyZp6zzQcGH
Mexican Radio,Celtic Frost,spotify:track:2ksadH0rmJCMAQ8r3Najnt
Aiming High,Accept,spotify:track:7MA4Ucak06vwQu9tpgQQ5W
Blister In The Sun,Violent Femmes,spotify:track:4PXH3g9qGgMqDlC52dJw07
Wild Child,W.A.S.P.,spotify:track:3iC3Numiy9P3AkF7iioKmx
Something To Say,The Connells,spotify:track:7CuZNZLsxDzgCzez9cLEjZ
Rosanna,TOTO,spotify:track:37BTh5g05cxBIRYMbw8g2T
Wanted Dead Or Alive,Bon Jovi,spotify:track:46ERhnELy62toOMlxe14a3
Come On,The Rolling Stones,spotify:track:6zMkgfxtxmaXNqC1LGZ1jJ
Moon Rocks,Talking Heads,spotify:track:0csWSjZhXwcIyRcJpTgAuV
I Wanna Be Adored - Remastered,The Stone Roses,spotify:track:758wEKVqfYopJIHYWdLVd4
Age of Consent - 2015 Remaster,New Order,spotify:track:2EEinN4Zk8MUv4OQuLsTBj
Cuts You Up,Peter Murphy,spotify:track:4ijNab1GM0JSZoe0I2KCOd
Feelin' Lucky Lately (Extended Version),High Fashion,spotify:track:1DnZXiz0xfMmBWEIzG08nf
Visions Of China - 2003 Digital Remaster,Japan,spotify:track:4GSXKqgFojRdeTxBZql858
Strange Affair,Minnie Riperton,spotify:track:5sECYkNL4N4chkL23SSuKt
Prospect Street,The Big Dish,spotify:track:4OsJu5J7c5aX6kQZzo71MS
Don't Stop The Dance,Bryan Ferry,spotify:track:2bTe1fvWK8mfjSP6NqXDzU
"B-Boys - 12"" Version",Nona Hendryx,spotify:track:11MBqlyWBc7i40e8XXmR0U
xoyo,The Passage,spotify:track:2XVtmnil27Z1whbs7tSoJn
Like A Baby,Wham!,spotify:track:5s34maXRJLyzQTZ5QyP1EV
The Other Woman - Extended Version,"Ray Parker, Jr.",spotify:track:65eAfoZsjXz946pMVNOEv1
Sticky Sweet,MÃÂÃÂ¶tley CrÃÂÃÂ¼e,spotify:track:1NssqUr2R2tlMH0oBGcWdx
Be Near Me - Munich Disco Mix,ABC,spotify:track:6pNyjSe7burb1jqbXFAlHk
Pressure Drop,Toots & The Maytals,spotify:track:7cfILJJHW9ZSkbM2ywLhiN
Jane Says,Jane's Addiction,spotify:track:5QEt3kRZdl6Bj6h5IVIOfi
Hands Tied,Scandal,spotify:track:2u8UXlW2LVuBNcpkAyxQPr
Life Under Glass,Sad Lovers & Giants,spotify:track:4ZJ4VhtT5e3CdwRu0x9d0P
Treat Her Like A Lady,The Temptations,spotify:track:7iMDtQVTT4gxlX12SHkzdq
Lost Souls,Book Of Love,spotify:track:0ZZMYB4LUR45zn3VY1NOZB
Is It All Over My Face? - Female Version,Loose Joints,spotify:track:2Qh9MsIYs02rHeG12watCV
Hollow Gut,Lowlife,spotify:track:6mYWwB69EAfdnC3p0GrfVq
Don't Blame It on That Girl - Rare Groove Mix,Matt Bianco,spotify:track:4agqj2sg71WfeHO8XgsjRT
Don't Forget Me (When I'm Gone),Glass Tiger,spotify:track:2pTMzMFnEtE4D0U4IcYSSX
Red Movies,Play,spotify:track:0pAfzlSsFvpGIDzTBNoqYG
Walkman,Kasso,spotify:track:6lQ3uoe6jfsW4gFmArAMSt
Georgy Girl,The Seekers,spotify:track:73XQBWHSVLL1939hb8cQTm
Straight Lines,New Musik,spotify:track:4rLt83tbYPa32G2ZQhz6Hl
Stay,Maurice Williams & The Zodiacs,spotify:track:6xi2kRGOrdLJNo4wFyaCis
The Way It Is,Bruce Hornsby,spotify:track:6V50MyHPGhEmwYu0Wdyf0t
Harvester of Sorrow (Remastered),Metallica,spotify:track:7a5jyBpaDWt9q1dEK5n8U2
Spring Rain,The Go-Betweens,spotify:track:1CswOuMr47eROk5J0pYDV2
We Built This City,Starship,spotify:track:7aHRctaQ7vjxVTVmY8OhAA
"Rush, Rush",Debbie Harry,spotify:track:3gixWH1IynBhHNyHMN1kcp
AMERICAN DREAMER,Alan Vega,spotify:track:05cXlpggqUfCTlnf7ZpX8i
Primary - Remastered Version,The Cure,spotify:track:6nm0hSPGUOJGSBcLeDlgFT
Street Love,Twilight 22,spotify:track:3jd4haGS0fsqho6RV3795Y
"Gold - 12"" Mix;2010 Remastered Version",Spandau Ballet,spotify:track:42Qyfmdk7BDRJ3oc0p5MSP
To Cut a Long Story Short - 2010 Remaster,Spandau Ballet,spotify:track:1NlJv9YBuvgbb9pO51vqOY
I'll Be Your Pleasure,Esther Williams,spotify:track:5t4ofI6xLKuwJ3tDLNlFeX
In My Darkest Hour - Remastered 2004,Megadeth,spotify:track:5LO0sJCkNMZYLYeGOvblLu
Crystal Wrists,Peter Murphy,spotify:track:5LRgiQJONKmuv41L76nAfe
"Dead Eyes Opened 12""",Severed Heads,spotify:track:3lfYJyH4RYEDugtyHkxD8G
"Love Will Conquer All - 12"" Version",Lionel Richie,spotify:track:3j6RAyFdugcyJ3a9dsab2X
Here To Go,Cabaret Voltaire,spotify:track:0m8SLXIiCEyiwH4nvbXmHZ
When I'm With You,Sparks,spotify:track:7cdbmTjUrOsJViLFddO0xz
Funky Sensation - Remastered,Gwen McCrae,spotify:track:6arPjDdM62UEEQv8fLMdcN
Harmony - Extended Mix,Suzy Q,spotify:track:3eOHgyvD436F6aDSEfPJED
Reflections,Original Mirrors,spotify:track:1honZqQ7rULQkroksfGsGe
Geno - 2000 Remaster,Dexys Midnight Runners,spotify:track:7gb626DDDHoiuVAGZEnlJk
Paradise,Sade,spotify:track:5DUX5YEV66m0ft9SF0Zxyu
"He Wants My Body - 12"" Version",Starpoint,spotify:track:2Ld4un7EZ2xDOZ5rucDMmg
One Fine Day,Camouflage,spotify:track:4vZnqlLjjYf8lYdzh3TEEo
"Forget Me Nots - 12"" Version",Patrice Rushen,spotify:track:1VHbh0C1BeckgRqcsuLf4W
Need Somebody New (Larry Levan Mix),Jamaica Girls,spotify:track:559nvAm46jiBUhPRx6IQ47
"Believe It or Not (Theme from ""Greatest American Hero"")",Joey Scarbury,spotify:track:375ntCG12wzCyfzclwYFwG
Do The Right Thing,Redhead Kingpin,spotify:track:4QKzw0d7DoBAHSSwkjPiIC
Face Up - 2015 Remaster,New Order,spotify:track:0yWcuH9q7tOvfMFzMAGGUT
Vincent,Don McLean,spotify:track:1QOjPpGoGfzUUjD87ltJzs
Je Ne Sais Pas Pourquoi - The Revolutionary Mix,Kylie Minogue,spotify:track:2ZhfblL3JRHaoO9EJKp62d
Abracadabra,Steve Miller Band,spotify:track:2E2ZVy2fxslpAUgbb4zu84
Dreamin',Will To Power,spotify:track:1OvAWyKGAXJKp0mhLQkiPi
Let's Change It Up - Extended Version,Inner Life,spotify:track:5Ydt6qYkRCOBtxDkOtZScd
I Travel - Remastered 2002,Simple Minds,spotify:track:1PekyTIRFked9Lah17jQF6
My Only Love,Roxy Music,spotify:track:0Gy2Mq49a3qb79jwlEa59o
Obsession,Xymox,spotify:track:7qQPzySIqGxHop6WFNXixW
"Sex, Money, Freaks",Cabaret Voltaire,spotify:track:2jrJtvf8SxGgbURSbfKbiV
"Serious - 12"" Extended Version",Donna Allen,spotify:track:5vmA8zgFafvKK4vaE4zmNX
Hall Of Mirrors,Siouxsie and the Banshees,spotify:track:5LISRpPG4mWNNQA4XXMDtO
Genghis Khan - 1998 Remastered Version,Iron Maiden,spotify:track:5AqRl4cVxhxKKjf5HZNXH9
Absolute,Scritti Politti,spotify:track:58YM4XO40Grr1BQA9htioL
Walking In L.A.,Missing Persons,spotify:track:6LgG7yvuD791JlfCMaioPS
"Summertime - Extended 12"" Mix",Fun Boy Three,spotify:track:79PQ4TUKg9gcZLJgu8p1tp
Winners Takes Nothing,Camouflage,spotify:track:5MycUQN2RzqdqbuSCs8nqf
"See You Later, Alligator",Bill Haley & His Comets,spotify:track:3CIXs8QRRpJJAQ3PnB233j
Run to the Hills - 1998 Remastered Version,Iron Maiden,spotify:track:7lVHF6SvOqlCCAVCxeQ3kh
"Soup for One - 12"" Version",CHIC,spotify:track:1CgqbYVBT215E0gIYJc18r
Night Starvation,The Cleaners From Venus,spotify:track:6e1aeEz2rddeNdn9Wwawqh
Flight Of Swallows,Eyeless In Gaza,spotify:track:1PPpO4WEK9SlFIOBQLPEbT
Endicott,Kid Creole And The Coconuts,spotify:track:40ggn7fwCteUvrmbqAOvxR
Here I Go Again 87 - 2017 Remastered Version,Whitesnake,spotify:track:0PP933bHgvV0eD19dG3ms5
Is It Still Good to Ya,Teddy Pendergrass,spotify:track:1gSYzNMM3DDp5Yd6mhYECK
Fighting the World,Manowar,spotify:track:2tjb6V24kf6sDUdEFNf3m9
Turn It Up,Michael Davidson,spotify:track:0NdEXeyN2erE1WbFQUAfiO
Stand Up For Your Love Rights,Yazz,spotify:track:4nW7dNpdmCAsU6LQGO3IQz
Good Things Come to Those Who Wait,Nayobe,spotify:track:2wY5T0Q2WJGYz6K3hRQHBs
The Sun and the Rainfall - 2006 Remaster,Depeche Mode,spotify:track:76yfcXu9VCEpAQLIa38dJ3
Penny Lover,Lionel Richie,spotify:track:1YMQTPPik3ixVxNZ32yZGO
Blood Red Skies,Judas Priest,spotify:track:7g796noAmjjQOibxStn85a
Ain't Nobody,Rufus,spotify:track:53Za5vyGc1x7GxgJVRjRKc
Build,The Housemartins,spotify:track:6hkZqkzakw3f21beVQft5o
Rock the Casbah,The Clash,spotify:track:4IMvgp0WZqr9mRqpEvDKxI
Before the Next Teardrop Falls,Freddy Fender,spotify:track:0dylhEX9ol4w6a5Jf3uXXM
Airport '89,Wood Allen,spotify:track:4W2mwwPuuEKaRnSPY42yui
Charlotte The Harlot - 1998 Remastered Version,Iron Maiden,spotify:track:5GXTiazJdYz1nQnqjZG63O
L.O.V.E. Machine,W.A.S.P.,spotify:track:70mq4zrypRzXnrwO9IfWy2
The Downtown Lights,The Blue Nile,spotify:track:7zaYJVsA2P2Xs7o9pql2zo
If You Don't Know Me by Now - 2008 Remaster,Simply Red,spotify:track:7DFawVSjI88xR9mjnWwURg
Freedom of Choice - Remastered,DEVO,spotify:track:287sY3xneZHgr0qKMhGOYR
Spiral,Martin Hall,spotify:track:4KZDkXvqAxXBQorBuyFlSu
Fate - Remix,Chaka Khan,spotify:track:0mF5FNUtsUBKCxcnEvl5W1
C'mon Every Beatbox,Big Audio Dynamite,spotify:track:3332CPhmDn43BvZLMuaJsY
"The Sun Rising - Danny's ""Love IsÃÂ¢ÃÂÃÂ¦""",The Beloved,spotify:track:28VmoSVBy8aw7iOKqMa4IB
Tender Lovin',Funk Deluxe,spotify:track:2q9V8nUtY0Zu50iI6Yfaxi
Love Overboard,Gladys Knight & The Pips,spotify:track:2dykYf0mZG217bYkiREKEh
Happiness (Frankie's Club Mix),Nicole,spotify:track:3edq4d0o0Cp1z6IxbPaYo3
Razzamatazz,Quincy Jones,spotify:track:3QVrHveKwEblqYStYJbNop
Don't Sing,Prefab Sprout,spotify:track:7HWYle0iB2JqflYFaqEn9P
Bloodstone,Judas Priest,spotify:track:58lfoeetDBMpFHdobo0AGi
Epic,Faith No More,spotify:track:4ReyTz0y3TGkX48wO3Llot
Shoot to Thrill,AC/DC,spotify:track:0C80GCp0mMuBzLf3EAXqxv
It Don't Hurt No More - Remastered,Linda Clifford,spotify:track:0lJ7jrN47grfzn9O0cdG9j
