Bed & Breakfast,Murray Head,spotify:track:2EezZrct9l2dp1Jj6SGE2D
I Shoulda Loved Ya,Narada Michael Walden,spotify:track:0PjkD419FrFnRuS5Mgs6pm
Drinkin' My Baby (Off My Mind) - 2008 Remaster,Eddie Rabbitt,spotify:track:3C3CBjLYbHGEHXJzLeXmMq
Portobello,Spot,spotify:track:2zoxSelHzqkpJ8dv0Pzuv5
"Better By You, Better Than Me",Spooky Tooth,spotify:track:3kkO6hXP7TUUNl7vjqTfJU
Moonshake,CAN,spotify:track:2XeSK6V4DYDxSJ0bk4mrnu
Send My Lover Back,Black Heat,spotify:track:095zc9jfIAdmnNpXUq6leH
Mina FotspÃ¥r Fylls Av Vatten,November,spotify:track:5gk9urxOwyeey8ehTy76f1
Money on Your Mind,Little Free Rock,spotify:track:1FNLXZeiZqMlyRyL0hg00H
Super,NEU!,spotify:track:6jyqyTIEa2XXnXr17LTJ6O
Back Street Love,Trapeze,spotify:track:08VqR3Yw43jxGuVN2fsrrw
Baby Won't Ya,MC5,spotify:track:5OBbFaNmPONA7QRPMBi6dY
"Wanted, Dead or Alive",Voices Of East Harlem,spotify:track:0xGqjGe6XghqiCqeAObpqx
All I Want - Remastered,kalapana,spotify:track:5g6t6VnYdS9DRo6dN9Yy1w
Tie A Yellow Ribbon Round The Ole Oak Tree,The Ray Conniff Singers,spotify:track:23dtO1pzaP8iAGgqDImWku
It's You That I Need,Enchantment,spotify:track:51x3PIRdB4V2eNHesIXaxZ
Pissing In a River,Patti Smith,spotify:track:5UYo2NoLUzBlP09NGJRGsc
Moving in Stereo,The Cars,spotify:track:5xLfQuX5YAfog2JgPz0dpA
Cordeiro De NanÃ£,Os TincoÃ£s,spotify:track:59HAcR0hVejI7Od0kgibFg
Frozen Smiles,Graham Nash,spotify:track:7e6dZ8FOY1VFG1nHY7OUK9
Far East Man,George Harrison,spotify:track:5jtZokQ3yXEo4cI7BFJRLJ
I Dig Love,George Harrison,spotify:track:7Gv21TfOtWHhpt1xEBf83e
Slabo Day,Peter Green,spotify:track:7BlH3QgxUQIHjBhe1jEW6r
Light Up Or Leave Me Alone,Traffic,spotify:track:6MeSDfZgtjw7k9QgdLxbNI
Sally Can't Dance,Lou Reed,spotify:track:5eLwwPNN9g5yLrIdyj2ewP
She's Gone - 2013 Remaster,Black Sabbath,spotify:track:1kvKnVwu8XuzCrNa0jh9tN
St Elmo's Fire - 2004 Digital Remaster,Brian Eno,spotify:track:0UROPTHqU5C7TI1N8wOkIF
Watch That Man - 2013 Remaster,David Bowie,spotify:track:1vlcWaJV9hGbiQMbsh2d8t
Keep On Jugging,Mighty Baby,spotify:track:0fjic6gqTGL4Pye8oQo6XE
Burnin' Sky - 2017 Remaster,Bad Company,spotify:track:4bLDM6UFtlD2LrtTNiEKQq
Woman of 1000 Years,Fleetwood Mac,spotify:track:6aE623nY6WVhgYH9VAFQRr
Like The Man Said,The Web,spotify:track:3wy9WOtTryiAKwxsgM3mOD
Motion Pictures (For Carrie) - 2016 Remaster,Neil Young,spotify:track:4Cex5qepeRpLHU53oESRIx
Auntie Aviator,John Martyn,spotify:track:0EsQGBTkAZaOIvJmE9T1yb
Proud Mary,Creedence Clearwater Revival,spotify:track:2Huqz13a9lalQkSPeSk7Sy
Devil Woman - 2001 Remaster,Cliff Richard,spotify:track:29YcYtqUNLWaYvGVGdYtZy
On the Loose,Teaze,spotify:track:2LA2kh3TiaeaoCQUyL0xdS
International Feel - 2015 Remaster,Todd Rundgren,spotify:track:3grM7XFXsz6NdtIqogedeN
Station to Station - 2016 Remaster,David Bowie,spotify:track:7cehkXeGO0t8HosgO42tHl
Aguirre II,Popol Vuh,spotify:track:5es8CCoAqvcIl3LzQCGXP4
"Dancin' Forever - 12"" Version",THP,spotify:track:1Jyvri24lFnXs2PErc1MWL
Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,spotify:track:2kkvB3RNRzwjFdGhaUA0tz
Heart Hotels,Dan Fogelberg,spotify:track:2I7wlhRFEesckeIVxZTJL8
"Minha Teimosia, Uma Arma Pra Te Conquistar",Jorge Ben Jor,spotify:track:1PXrYVQpOUDWo8NZDTSifY
Crippled Inside - Remastered 2010,John Lennon,spotify:track:5CG4RXjli90Zd1KDalPqeK
Sea Epic,Crack The Sky,spotify:track:4szx89vb1KnqeEjJD0QY3r
Lyin' Eyes - 2013 Remaster,Eagles,spotify:track:5lQKRR3MdJLtAwNBiT8Cq0
Black Right,Keith Hudson,spotify:track:5m4N6gvtmx1lz5pVyia7rz
Losin - Remastered,Ice,spotify:track:20u8FgQOl6y2uniX4EBX4a
On Your Way Down - Remastered Version,Allen Toussaint,spotify:track:49v51q2pXJDSD4tKLplEaB
Yeah You're Right,The Meters,spotify:track:09ngzZIROlPE7KL3LteGEW
Rainbows,Dennis Wilson,spotify:track:0mONC9WyQSPG869cO2zfIL
Total Control,The Motels,spotify:track:6H1Kjxu2NlJCMxg0Pay0Rd
Bajan,Pescado Rabioso,spotify:track:6hmYi0E6EBEmDeztQHaH0C
For You,Vernon Burch,spotify:track:6snZKEIQOdYpAXYaL5Mayt
Son of the Father,Stray,spotify:track:4xPwSrPVe3WzevwPtIDww9
Ooh Las Vegas - Remastered Version,Gram Parsons,spotify:track:7kJpAkJSFMCkM6T4plsRLd
"Cuando Quieras, Donde Quieras (Cosi' Era E Cosi' S",Dyango,spotify:track:3akNntAza319MgjivWphIH
Ordinary Joe,Terry Callier,spotify:track:0AQiTPhmx34PPcKjrpai7Z
Lady,"Beck, Bogert, Appice",spotify:track:6Pyr3DqDxXnoP1mZBzb2JY
Earthshaker,James Gang,spotify:track:7GcOKstc4GtBRc4AmdB6Rs
Painful Struggle,The Advancement,spotify:track:4WixCmglqA4Yfd76hidyiT
Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,spotify:track:2zvot9pY2FNl1E94kc4K8M
Hot As A Docker's Armpit - 2013 Remaster,Budgie,spotify:track:1ouurnRI6CzmiAU8YpNrHc
Showdown - 2003 Remaster,Electric Light Orchestra,spotify:track:2j3O83dYETyYooYCQVLFNx
Voyage to Atlantis,The Isley Brothers,spotify:track:7r1gEyIhacXnvLriLjmp3c
Big Tree Blue See,Golden Earring,spotify:track:43e4Lmu5SqNu33zX665NRJ
Fluff - 2013 Remaster,Black Sabbath,spotify:track:0IBdQ61edwccAPe0Tzv2Zb
Spotlight,David Allan Coe,spotify:track:5D9GKjpvU4xbw4Y2sreLXB
Since You Been Gone,Rainbow,spotify:track:4N4guy1faBG6oseDnhjkWy
Algo de MÃ­,Camilo Sesto,spotify:track:2ZZ7RjQOIkQQM3Wd4tXaZe
Laughing,The Guess Who,spotify:track:4KhuernnobE4BzS0P1Viz8
Cosmic Dancer,T. Rex,spotify:track:5gOnivVq0hLxPvIPC00ZhF
Straight Shootin' Man,Lincoln Street Exit,spotify:track:2OUGqh0cBE4TYw27mg7be9
Caboclo,Arthur Verocai,spotify:track:0CsmWiwg0wKJwtj3SvElNq
Sweet Love,Commodores,spotify:track:3W7sJgfcVgR3ifmFxid141
Mind Games - Remastered 2010,John Lennon,spotify:track:3QmUhaY5KZiOuaUH8H71LG
Oh What A Day,Spot,spotify:track:5UIOQSW36fWZCKrkUY2ds2
Copacabana Rock,Hareton Salvanini,spotify:track:77sdm7QfW4PmMgN87piHaz
Fail Safe,Smash,spotify:track:2V5IPctlxku77bfWNmW4zl
Man Machine,Lincoln Street Exit,spotify:track:4xYKjNSvxHbSQUmMRnvUaW
Fearless,Pink Floyd,spotify:track:7AalBKBoLDR4UmRYRJpdbj
Love In Them There Hills - Single Version,The Vibrations,spotify:track:2rjaHAF0MzEpxVVYkh8Bnj
La De Da,Link Wray,spotify:track:0IlYgHJnP4D8HWUCuyJnQW
"It's All over Now, Baby Blue",The Animals,spotify:track:55Jty4lzy6jnC3Cm9h8bQQ
Rainy Day Woman - Live,Waylon Jennings,spotify:track:40DQENMTVU8Sv22f9KE98Q
Snappy Kakkie,ZZ Top,spotify:track:7ame6I0vHrT5Tf4Wip8X4L
When You're Near Me I Have Difficulty - 2001 Digital Remaster,XTC,spotify:track:0pG73CkloiWrsiQlSYJDj8
Feel The Real,David Bendeth,spotify:track:2tTMoXavkBdOsjKGaKdzdm
On The Hunt,Lynyrd Skynyrd,spotify:track:2e6qroe20tHfu8aTQSTglt
Mambo Sun - Remastered,T. Rex,spotify:track:79dQwpXjJ4t3pILysdqFyB
No Place to Fall,Steve Young,spotify:track:295vaNU7AICDcyAG9836Mz
"For the Love of You, Pts. 1 & 2",The Isley Brothers,spotify:track:7teF2kwC3GL00mQfwtxzo9
Ballad Of Irving Fink,Buffalo,spotify:track:1MZGEq2DgD2PD1eAslhZ5X
The Air That I Breathe - 2008 Remaster,The Hollies,spotify:track:6yLIqXX9edg1x0HZS7cZEv
TÃ´,Tom ZÃ©,spotify:track:6i41Sc46SxGxsLmPBsz3kq
Return To Forever,Minnie Riperton,spotify:track:3sfmTA89eAYzWtZQIGUdbe
Boogie Nights,Heatwave,spotify:track:0ykMehcHOKSjVb5hT56iQO
Big Rig,Jimmy Buffett,spotify:track:5i351CLg5SHEO5sPSDR39C
Opa-Loka,Hawkwind,spotify:track:6JMafl7gU8t4ydHDSTtPy0
Mississippi Woman,Waylon Jennings,spotify:track:64BFsyMdThK1g7Cae7re09
Mr. Longevity - R.I.P.,Hard Stuff,spotify:track:7JPLdmYpuj9eKpgP8al8iA
Don't Stop Me Now - 2011 Mix,Queen,spotify:track:5T8EDUDqKcs6OSOwEsfqG7
Vitamin C - 2004 Remastered Version,CAN,spotify:track:1tzXnPndBrd2G5GXrOBc1c
"Night Of The Warm Witch Including (a. ""The Following Morning"")",Skid Row,spotify:track:28tKKQ934iytRjtg8hqQ9P
Shake It And Break It,Canned Heat,spotify:track:4GUJIo2zKSKcHJx7aTsZv7
Strutter,KISS,spotify:track:6uOnSrDg5Rfgil2zUGdyV0
Te Quiero Tanto,Ivan,spotify:track:69GXCPQD5UpeW0oX1M91J4
Nine Out Of Ten,Caetano Veloso,spotify:track:5HWNgu2BeVH0UZ1Q9ufI2D
Libre,Nino Bravo,spotify:track:1uAjXdRxH2PBCKGSWPagGJ
Bullets,Zipper,spotify:track:2VjFdQuYSlsTKUEw5fnKhA
Shock Me,KISS,spotify:track:6EyY46hSIQuNOS8MjZhUYN
Delusion - Remastered,McChurch Soundroom,spotify:track:5j7EL5i2ZSmuSPdCNmgE96
Entrance Of The Evil,Zior,spotify:track:29d5bnnw0nkBo3chJE3a2q
Blitzkrieg Bop - 2001 Remastered Version,Ramones,spotify:track:33iQW2OneB0oNh2NfrAzqW
Day In Day Out - 2001 Digital Remaster,XTC,spotify:track:0cvLMD0XvQH8aKHLH1BlG5
Mississippi Mountain Blues,Blues Creation,spotify:track:4EHF8yBVfQSBN5AJBFHWB7
'Til My Death,Buffalo,spotify:track:2TKeujqxGhYgp97VOLqpSE
Lonely Days - Remastered Version,Bee Gees,spotify:track:6jeiF29C5npN5vAFpijaWQ
Take Me Home Tonight,Eddie Money,spotify:track:63diy8Bzm0pHMAU37By2Nh
I Just Want to Make Love to You - 2016 Remaster,Foghat,spotify:track:6dYZUX7ClBtpzUE7coynkt
Good Time Charlie's Got the Blues,Danny O'Keefe,spotify:track:2EuHw21uxVU8I9kEUD3O9J
"Lo Que Nos Ocupa Es Esa Abuela, la Conciencia Que Regula el Mundo",Invisible,spotify:track:6t9G8frU0kZX5hxmiWi7Zw
The Psychedelic Warlords (Disappear in Smoke) - 1996 - Remaster,Hawkwind,spotify:track:2YSOZFFQnq7F0dRyo2pdnF
24-Carat Black (Theme),24 Carat Black,spotify:track:5OTfkTpOtfJcNaUWlmHxmo
Myopic Void,Captain Beyond,spotify:track:7xfJy6LXKKOrtn82TJsIoM
The Ripper,Judas Priest,spotify:track:6KnxpxnhS6uRsG1qX90BIy
Take A Ride,Beverly & Duane,spotify:track:4TBNLuIB8a6uXzxAbOqmNB
Pretty as You Feel - Single Edit,Jefferson Airplane,spotify:track:04tgOx1EJSNhRZg3G4wIrH
A Mile High In Denver,Jimmy Buffett,spotify:track:4XU2iwghKFaxrJ65Pu7exV
You've Been Around Too Long,Carole King,spotify:track:5HrDXOFttS0xDxslYCVQVd
Keep On Wondering,Jack Bruce,spotify:track:7BGYTY05sjdF9ReIGTolFA
Hard Work,Nil's Jazz Ensemble,spotify:track:72SqxhHPypquB6CB4ZHdqu
Embryo - 2014 Remaster,Black Sabbath,spotify:track:1vlEf0z4nKmArCxE13H3UU
Night By Night,Steely Dan,spotify:track:6dPSAWeeV6VO7CGBocFL02
Till You Take My Love,Harvey Mason,spotify:track:6VtO5cZQzv8s3kCFjrXfhi
Breathe (In The Air) [2011 Remastered Version],Pink Floyd,spotify:track:4AzyYHQKBphpQonm3Hx15E
One,Harry Nilsson,spotify:track:5gEllFEEiROLHSe6wl5Fsz
FÃ¼r immer,NEU!,spotify:track:2tKidB2peNYQBe0G2O3XRA
Here She Comes - Remastered 2000,The Beach Boys,spotify:track:0nYy99TKeqt8T2LdSWzFHN
Shifting Lead,Hand,spotify:track:6WRNAnziFprRz3X62651Fo
South Side of the Sky - 2008 Remaster,Yes,spotify:track:5IAcmHktMIqXEDm1BLsEcG
Magic Of The Dawn,Strife,spotify:track:760uBysjmT0dm7VYTI4Xeb
Rocking Man - 2013 Remaster,Budgie,spotify:track:1SaZ1PolvJtfEGoI2s1yAU
Too Much Heaven,Bee Gees,spotify:track:2YkMr3ooNqTvWtyeZYvd6s
Freestone,Freedom,spotify:track:3HVURO1tpMj9pePoa9rnrw
I Get Lifted,George McCrae,spotify:track:587Vwu9qc90AQx9rmTb2wg
VÃ´o sobre o horizonte,Azymuth,spotify:track:1hlikalamWYpdmg3OhfFJ1
Big White Cloud,John Cale,spotify:track:1TEvvaq5thKufLYdlwZV6d
I Wanna Be Closer,Switch,spotify:track:6Dlb4mEWsp7heSYiMk8nvx
Kingdom Come,Tom Verlaine,spotify:track:75yTZJEnxRnP9YNIK2n0cB
Hang On to Yourself - 2012 Remaster,David Bowie,spotify:track:1dWoKufYqWrjfxYhFnHyMP
Black Sheep Of The Family,Rainbow,spotify:track:3wAd4rNvSopqKFO0YIJ0zS
Goody Two Shoes,Adam Ant,spotify:track:5fI6VuWtMLlgYt58nbre01
Blindness,Captain Marryat,spotify:track:4rCfRz0yyhEhK5vzilGPfu
I'm Alive,The Hollies,spotify:track:5KnoGzqktzPxHC38VQgWha
Superstition,"Beck, Bogert, Appice",spotify:track:4UCWKwvKwcyUQagaD85X0I
You Should Be Dancing - Edit,Bee Gees,spotify:track:2xiOdusRnZezQok1RgLNeS
All These Things,The Uniques,spotify:track:32hWbUykJPGKqF8jh4oGwa
Quarto de Hotel,Hareton Salvanini,spotify:track:1rSirOSgJ7I6OyoOIpQ5N4
Gate of Horn,Roger McGuinn,spotify:track:0g2kQeI0ZRRzKjoKgMyJJU
Funky Town,Pseudo Echo,spotify:track:6UfLQNkw9a9tOVVqsev9vA
"Mama, Open Up",Flo & Eddie,spotify:track:0lFT9RY2g0obOLI27HcHpF
Rock And Roll All Nite,KISS,spotify:track:0fCWbJq1hagsRgShtn6gIU
Chocolate Buttermilk,Kool & The Gang,spotify:track:3TLjDc1aHQXxZ4gBtDgUc9
Pacific Ocean Blues,Dennis Wilson,spotify:track:4h0LDG7Ji9G2dxG1hb6JoL
Valentine Day - Remastered 2011,Paul McCartney,spotify:track:2ehqlczScmyeaqICVOGaDs
Hand of Doom - 2013 Remaster,Black Sabbath,spotify:track:72YRB6ar59nBsNdnn0cVdD
Coconut,Harry Nilsson,spotify:track:4o5GyaeGMgDsrclBsL3au7
Lola - Coca Cola Version,The Kinks,spotify:track:0UAJH0k4k3slcE83a9UGCe
He's the Father of My Children,Pat Lundy,spotify:track:07FNxXA30fZohDRzTQeEt4
Azafata del Tren Fantasma,Invisible,spotify:track:0VGMbAHolwAYe2k5RmHHU3
Travellin',The Jeremy Spencer Band,spotify:track:5AmiKHSAkkQ1xaFTFtqkk8
After Forever - 2014 Remaster,Black Sabbath,spotify:track:3muMI7YXx7JU3yaaJzWVPw
Night Prowler,AC/DC,spotify:track:7w04gIWA7mIbqR03Ghyrkl
Detour,Patti Page,spotify:track:4uao2x6ahSNBnMeTFNY0QK
Paradox,Lacewing,spotify:track:6zGoToDb3Lt8WJFheXL4w7
Curiosity Killed The Cat - 2010 Digital Remaster,Little River Band,spotify:track:4FPkpfgkCe1deoJeaelUXC
I Found That Essence Rare,Gang Of Four,spotify:track:24CbX8CkkGJKGLMTpu0olW
The Bomber A: Closet Queen B: Bolero C: Cast Your Fate To The Wind,James Gang,spotify:track:5A3ZtOkIeZCGTvMcRpjUrf
Silver Machine - Original Single Version; Live at the Roundhouse London; 1996 Remaster,Hawkwind,spotify:track:73HSIWZlSCfs4tqVkrGv7H
Looking For A Kiss,New York Dolls,spotify:track:1z9Vxm6Gij3AkTjVUlcnLT
Oh! Sweet Nuthin' - 2015 Remastered,The Velvet Underground,spotify:track:4Wi6OrpIzvG0dRHN8pVuTs
Marzipan,Krokodil,spotify:track:1ipTXxU0UAA2ecopsa9j6l
F*U*B*B,Wishbone Ash,spotify:track:1Dx1ZPaterHe14K9Hxehby
Let It Freeze,Zipper,spotify:track:0LbShn5njCYHFBd2vb65NK
Revolution - Remastered 2009,The Beatles,spotify:track:3UDmHZcBTQp8Iu8droNtUl
Guitar Man,Bread,spotify:track:0gZXockVcE7rEhSf4mcGLO
The Yes No Interlude,Hatfield & The North,spotify:track:2AjO7WHgceMI5jfc7pUAs0
Pipeline,Johnny Thunders,spotify:track:7Fb5YJcmP1McOwYZQCVRT7
On the Wind,A Foot In Coldwater,spotify:track:4HWdDrQ022Qc155iu4zh1T
Set Us Free,Reuben Wilson,spotify:track:2Xr9pszXMgqqMmKYJIhXVa
Change,Haikara,spotify:track:1CA9mOl2tXhrPv5mI47Xjh
Immigrant Song - Remaster,Led Zeppelin,spotify:track:78lgmZwycJ3nzsdgmPPGNx
Quick Silver,Tommy James,spotify:track:1s78RWKv752SlIIYldsqj3
Take Me Home,Paul Revere & The Raiders,spotify:track:3jYYZ9q5GlF2W84h0SWzdu
Dark Shadow,Eddie Henderson,spotify:track:5UkOMJnLEvOXVb7CQNbWIy
A Prenormal Day In Brighton - Remastered,Jade Warrior,spotify:track:5X2bpndGKxdgMHjbvhqFZ3
Please Don't Help Me,Climax Blues Band,spotify:track:0EAW3SA2CyAlfiXoSF8UV0
By-Tor And The Snow Dog,Rush,spotify:track:0hRJNNyjoIlRcrgYVypM2Y
The Thrill Of It All,Roxy Music,spotify:track:2LVvnvOjrtqVvsXVgUSkin
Riegal,Pearls Before Swine,spotify:track:0KSQkoXALTqO1Gj6s7niG8
Oliver's Army,Elvis Costello & The Attractions,spotify:track:1zaI1thQ0wtiSmlro2YrHW
Too Much Too Young - 2002 Remaster,The Specials,spotify:track:6mmMgt7mmgVF1nuwRNJIkd
Pop Pop Shoo Wah,Erotic Drum Band,spotify:track:4qfNRn8OScFxGUX3a4debl
Born Yesterday,Zipper,spotify:track:1eajLF5ulIUxnklCNGYi4W
You Are My Starship (feat. Michael Henderson),Norman Connors,spotify:track:2zb9ytpjyulpBqdu22wcD7
So Into You,Atlanta Rhythm Section,spotify:track:3Sm5TYFgMXyXwgAcY2xweX
In My Life - Remastered 2009,The Beatles,spotify:track:15F4pkkx1np7W93qQfqr80
Panama Red,New Riders of the Purple Sage,spotify:track:70hZyH0RrThMYtxqv5OGYb
I'm A White Boy,Merle Haggard,spotify:track:6OTt38sxQQ2iyKbUGCjAvs
Only Daddy That'll Walk the Line,Waylon Jennings,spotify:track:3rbMqKKqngLMilCBw0N9lR
Barracuda,John Cale,spotify:track:1oAr9H6Qw5gaqBJaZeMwS0
Zoot Suit,The High Numbers,spotify:track:6cO0gMDUlpp3PR5IKlJveN
"Kozmic Blues - Live at CNE Stadium, Toronto, Canada - June 1970",Janis Joplin,spotify:track:6KxIlO4iEMkeFdDMLCUZAP
Killing Me Softly with His Song,Roberta Flack,spotify:track:3gsCAGsWr6pUm1Vy7CPPob
Casanova,Bryan Ferry,spotify:track:29eZ1vZbI0BjJPKNdDSoyN
Hold the Line,TOTO,spotify:track:7sA48nDJV5ROe9mNFbedbB
Paranoid - 2016 Remaster,Black Sabbath,spotify:track:1Y373MqadDRtclJNdnUXVc
Night Fever - 2007 Remastered Version Saturday Night Fever,Bee Gees,spotify:track:66wpCqkkM6MrxXSbfgmsrh
Lady Love,Robin Trower,spotify:track:3g3sqfncfuRHsT8pLoh7FS
Broke Down and Busted - 2015 Remaster,Todd Rundgren,spotify:track:1la9ZqFNOTYBx382tItSox
Let It Be - Remastered 2009,The Beatles,spotify:track:2xAEMttFb293s8FmbH8tgX
The Whole Of The Law - 2008 re-mastered version,The Only Ones,spotify:track:2s9Q0MX0Fhqh1GLpTtaucm
Stairway to Heaven - Remaster,Led Zeppelin,spotify:track:5CQ30WqJwcep0pYcV4AMNc
77 Slightly Delayed,Ashra,spotify:track:1TmlYsvU6XoXn0Bs6p5CNC
See the Sky About to Rain - 2016 Remaster,Neil Young,spotify:track:4tYPrKSZJQTocvTiPkA87i
Longhaired Redneck,David Allan Coe,spotify:track:2hu8MGKHetKqjLmqadNQD7
Fortune,Dschinn,spotify:track:1LU5DXaH0clvTCWVij5Xo1
The Wizard,Black Sabbath,spotify:track:3JvMig6Sc8XRLqHseNsccM
Radar Love,Golden Earring,spotify:track:5tU9JM1v72X7oM808Am6Fq
I Thought It Was You (with Herbie Hancock),Kimiko Kasai,spotify:track:3QOJdBuXIxpfZ0UfUyErpJ
Baby,Donnie & Joe Emerson,spotify:track:62wdQ5CInFr7cjISqrr46f
When You Are so Bringdown,Pan & Regaliz,spotify:track:6UfZDR9mNnzNUnTa0b3mhW
Speed of Life - 2017 Remaster,David Bowie,spotify:track:7B265QWYkUeqG2ihVEUZ5D
Rolling Home Again - 2013 Remaster,Budgie,spotify:track:0nKy1DTpSt1zNsg0wzpwZR
"Tell Mama - Live at CNE Stadium, Toronto, Canada - June 1970",Janis Joplin,spotify:track:4HL3bZ2m5O9Ygwk4CF2S3h
Beast Of Burden - Remastered,The Rolling Stones,spotify:track:77oU2rjC5XbjQfNe3bD6so
Still Feeling Blue - Remastered Version,Gram Parsons,spotify:track:6p7g9kd8ZgDyk05xJgxB8C
See How a White Negro Flies,Out Of Focus,spotify:track:5WiiRUY8FyduwZyxYYJtbx
Fame - 2016 Remaster,David Bowie,spotify:track:1PehfITh0TTRx3LkDdV4h3
Good Times,CHIC,spotify:track:0G3fbPbE1vGeABDEZF0jeG
"Feeling You, Feeling Me Too!",Gene Harris,spotify:track:3xIeN1gFWEvz8jW1MkZ0jm
Now You're Gone,Curtis Mayfield,spotify:track:78Yi6oDrD1X7VQJec5WeA7
Never Existed Before,Minnie Riperton,spotify:track:5pTx8tjlZvRum5IgB6hkLP
Freelance Fiend - Remastered,Leaf Hound,spotify:track:1eTbmbY0UiZe3GbgrddIUV
Already Gone - 2013 Remaster,Eagles,spotify:track:0CKxrnF9KplS21LTjkkqsW
Let me Ride,Ginger Baker's Air Force,spotify:track:0Q9xiNA4giBcJe5G4MfbaW
Heartbeat - Single Version,Buddy Holly,spotify:track:5lW2juP2A5exmTjnjJ7HB5
Â¿Y cÃ³mo es Ã©l?,JosÃ© Luis Perales,spotify:track:0UUJju7jtTViPCdauXKVZ1
Coloured Dreams,Ruphus,spotify:track:3hMiPMhq6ENhUTYRA0tt3x
How Good Is Your Game,Billy Paul,spotify:track:22sOzufAavitHhMx12ZVrn
Sail On,Commodores,spotify:track:2QglMIKYxa06BFSXG6KwvC
DON'T WANT,Ancient Grease,spotify:track:0I2US5PmWmDZKf9OV0EVgI
Tyrant,Judas Priest,spotify:track:3Z6jOwUtmeuqL2mRPIcdAX
Let Me Make Love To You,The O'Jays,spotify:track:5XTdQEuQhO3sUCcm2K1YnR
Kicks,Nazz,spotify:track:2xotNOgZVK2sgLcmRt7yB9
I'd Like To Be Free,Out Of Focus,spotify:track:5EL22XM4ADiEK3UtxvWxMF
Lady of Fortune,Rhinoceros,spotify:track:7IBcf4pn0CE4sa3wYYYuHi
Perihelion,Sonny Fortune,spotify:track:71rCIOanEff9lJRSn9sOAB
Such a Woman,Tycoon,spotify:track:3zThdcaPn3U4Gmg5B0YV9w
Run Through The Jungle,Creedence Clearwater Revival,spotify:track:2LlrAzrL7eQwXrlplmyAde
Sugar Man,RodrÃ­guez,spotify:track:17nOJOcPbcl4sKzM2yyYDp
Straight From The Heart,Loose Change,spotify:track:4rxu6ABpCcyQ9oJLxsIu7F
Suzanne,Leonard Cohen,spotify:track:50LqU2nhdE3fmWOuqOjpjz
Jean Cocteau - 2019 Stereo Mix,Be Bop Deluxe,spotify:track:7eRw80MSOXvlfxrjcxn8dU
Supernaut - 2014 Remaster,Black Sabbath,spotify:track:1fJTWLZHIAwPdGoBzEYnhp
My Sweet Lord,George Harrison,spotify:track:3Njxl86N4inxFi5xBuCoR1
Somebody Calling,Robin Trower,spotify:track:630OWeCwxwzJ46N8xTgnoJ
Before The Next Teardrop Falls,Freddy Fender,spotify:track:2SVW5774QbmEjWfbHOEnz3
Forgiving You Was Easy,Willie Nelson,spotify:track:1uPV78WGj2AfJILdUBrwLs
La rue,Cortex,spotify:track:6lzDycd60SJ7H8y6wuESGl
Paperback Writer - Remastered,The Beatles,spotify:track:4V3manOO5ihxZXxctaYyiR
She Loves the Way They Love Her,Colin Blunstone,spotify:track:7MEGee2yq9oWZKpxjYlSyW
Helium Head (I Got A Love),Sir Lord Baltimore,spotify:track:2wyGOr1dFgTuiSJWvFToTd
"Summer Madness - 1976/Live At The Rainbow Theatre, London",Kool & The Gang,spotify:track:2TpZXerlx86VZpt9oe9Gbu
We Live In Peace,Marijata,spotify:track:4l8N1IPZW1NpL4RnWbCiAj
The Changeling,The Doors,spotify:track:3uqxwLp7Hs9sJhm4uVF8li
Ape Man,Marcus Hook Roll Band,spotify:track:4LTzeRH7Ec4sSaZfh84O1f
Riding In The Rain,Thirsty Moon,spotify:track:2J4iziE0RvDeing2WBMasH
Cracklin' Rosie - Single Version,Neil Diamond,spotify:track:5pkd9ib1RgbkAd1R9bIOCa
You Won't Change Me,Black Sabbath,spotify:track:7t0CR2qrt488hqumOzYNAp
"Love Gun - 12"" Extended Mix",Rick James,spotify:track:1K4cuZLF7ItvcDt4Dq21x7
Telephone Line,Electric Light Orchestra,spotify:track:6xkLNZ1kF47qvTrhI0Kc0N
Come Fly With Me,Greg Perry,spotify:track:3UdksKKGU9bGqQfER29eJE
Pigs (Three Different Ones),Pink Floyd,spotify:track:0gEaeqVRHPzRc7HMXtOKc7
Easy from Now On - Remastered,Emmylou Harris,spotify:track:5VEUwTxuC4AVsYcYCDMUlk
Diamonds And Rust,Joan Baez,spotify:track:3oLKEO5NCdf2Zi3mBzKaAs
High School Drool,Jo Jo Gunne,spotify:track:6oMleBocgX7TpCouBESgKz
Give Me Love (Give Me Peace On Earth),George Harrison,spotify:track:0UkZexeWaFY7geHlCLqjQR
A Venture - 2003 Remaster,Yes,spotify:track:0lEEA6MzI2sCYZsqIOjmc9
Running,Baby Huey & The Baby Sitters,spotify:track:72h68r1IPddK24W0IbuKqQ
Tubes World Tour,The Tubes,spotify:track:0hOaxFUVHNH800TjRl3GJd
Maybe Iâm Amazed - Remastered 2011,Paul McCartney,spotify:track:1Qa0Y05al633fG8f9Peytc
Boogie Wonderland,"Earth, Wind & Fire",spotify:track:6ztstiyZL6FXzh4aG46ZPD
He Ain't Heavy He's My Brother,The Hollies,spotify:track:6f5sSC3ORfpUMYtE4J06VW
Nineteen Hundred And Eighty Five - Remastered 2010,Paul McCartney,spotify:track:1mwXWyvvmVRKLqMHdIxfyh
